"콘텐츠명","룸개수","애완동물동반허용여부","조식제공여부","금연여부","공항교통편","셔틀버스운행여부","등급","체크인시간","체크아웃시간","LATE체크인여부","장애인전용객실여부","부대시설기타","유아서비스기타"
"노을담은뜨락",,"","","","","","","","","","","",""
"코티지락독채펜션",,"","","","","","","","","","","",""
"유로리조트",,"","","","","","","","","","","",""
"율게스트하우스",,"","","","","","","","","","","",""
"산방산해오름펜션",,"","","","","","","","","","","",""
"에너벨리민박",,"","","","","","","","","","","",""
"예하게스트하우스",,"","","","","","","","","","","",""
"오션스위츠호텔 제주",,"","","","","","4","14:00","12:00","","","",""
"에리두 Cafe n Beds",,"","","","","","","","","","","",""
"에쿠스모텔",,"","","","","","","","","","","",""
"에프원모텔",,"","","","","","","","","","","",""
"레디메이드",,"","","","","","","","","","","",""
"레프트핸더 게스트하우스",,"","","","","","","","","","","",""
"롯데시티호텔제주",,"","","","","","","","","","","",""
"뜨리바다펜션",,"","","","","","","","","","","",""
"제주캠핑올레",,"","","","","","","","","","","",""
"우리이야기",,"","","","","","","","","","","",""
"라메종베니in제주",,"","","","","","","","","","","",""
"라이온힐펜션",,"","","","","","0","","","","","",""
"늘송파크텔",,"","","","","","","","","","","",""
"제주별장",,"","","","","","","","","","","",""
"옛살라비",,"","","","","","","","","","","",""
"오렌지트리 호텔",,"","","","","","","","","","","",""
"뉴그린펜션",,"","","","","","","","","","","",""
"다래산장",,"","","","","","","","","","","",""
"라포즈",,"","","","","","","","","","","",""
"김마담하우스",,"","","","","","","","","","","",""
"메모리 인 제주 펜션",,"","","","","","","","","","","",""
"올레프로방스",,"","","","","","","","","","","",""
"월령게스트하우스",,"","","","","","","","","","","",""
"허브인휴양펜션",,"","","","","","","15:00","11:00","","","",""
"다이아몬드 호텔",,"","","","","","2","20:00","10:00","","","",""
"달콤한소금만들기",,"","","","","","","","","","","",""
"대유모텔",,"","","","","","","","","","","",""
"더베이리조트",,"","","","","","","15:00","11:00","","","",""
"메종글래드 제주",,"","","","","","5","14:00","12:00","","","",""
"민박바당집",,"","","","","","","16:00","11:00","","","",""
"야자수민박(제주캠핑베이)",,"","","","","","","","","","","",""
"꽃향기바다소리",,"","","","","","","","","","","",""
"제주시 그린모텔",,"","","","","","","","","","","",""
"제주빌레성 통나무휴양펜션",,"","","","","","","","","","","",""
"올레코지하우스",,"","","","","","","","","","","",""
"와이리조트 제주",,"","","","","","","","","","","",""
"외도바다민박",,"","","","","","","","","","","",""
"로그빌리지 펜션",,"","","","","","","","","","","",""
"롯데호텔 제주",,"","","","","","5","15:00","11:00","","","",""
"린앤솔게스트하우스",,"","","","","","","","","","","",""
"제주아이브리조트",,"","","","","","","15:00","11:00","","","",""
"제주카사블랑카펜션",,"","","","","","","16:00","11:00","","","",""
"제주쉐르빌(중문)",,"","","","","","","","","","","",""
"물고기나무게스트하우스",,"","","","","","","","","","","",""
"제주올레하우스팬션",,"","","","","","","","","","","",""
"윈드힐펜션",,"","","","","","","","","","","",""
"라온호텔앤리조트",,"","","","","","","15:00","11:00","","","",""
"동박생이",,"","","","","","","16:00","10:30","","","",""
"성산우리집 펜션",,"","","","","","","15:00","11:00","","","",""
"로지게스트하우스",,"","","","","","","","","","","",""
"곰씨비씨게스트하우스",,"","","","","","","","","","","",""
"레몬트리게스트하우스",,"","","","","","","","","","","",""
"아마빌레",,"","","","","","","","","","","",""
"호도하우스",,"","","","","","","","","","","",""
"제주하이킹 INN(구덕게스트하우스)",,"","","","","","","","","","","",""
"중문그린힐통나무펜션",,"","","","","","","","","","","",""
"카이리조트",,"","","","","","","","","","","",""
"헌스빌펜션",,"","","","","","","","","","","",""
"제주엠리조트",,"","","","","","","15:00","11:00","","","",""
"제주올레모텔",,"","","","","","","","","","","",""
"킴스캐빈",,"","","","","","","","","","","",""
"테라피민박",,"","","","","","","","","","","",""
"사조리조트",,"","","","","","","","","","","",""
"풍차와노을 독채펜션",,"","","","","","","","","","","",""
"위더스펜션",,"","","","","","","","","","","",""
"유앤아이게스트하우스",,"","","","","","","","","","","",""
"엠마오가는길",,"","","","","","","","","","","",""
"웨스티하우스",,"","","","","","","","","","","",""
"서귀포오소록민박",,"","","","","","","","","","","",""
"블루비치",,"","","","","","","","","","","",""
"블루하와이리조트",,"","","","","","","","","","","",""
"호텔 마레",,"","","","","","","","","","","",""
"신촌돌집",,"","","","","","","","","","","",""
"새벽별 펜션",,"","","","","","","","","","","",""
"미르빌펜션",,"","","","","","","","","","","",""
"카노푸스 게스트하우스",,"","","","","","","","","","","",""
"밀라노 모텔",,"","","","","","","","","","","",""
"파미유스파리조트",,"","","","","","","","","","","",""
"토스카나호텔",,"","","","","","","","","","","",""
"민중각 게스트하우스",,"","","","","","","","","","","",""
"탐탐56",,"","","","","","","","","","","",""
"아리",,"","","","","","","","","","","",""
"바우하우스",,"","","","","","","","","","","",""
"솔민박",,"","3","","","","","15:00","12:00","","","",""
"블랙샌즈호텔",,"","","","","","","","","","","",""
"해마관광호텔",,"","","","","","","","","","","",""
"오슬로호텔",,"","","","","","","","","","","",""
"제주로얄호텔",,"","","","","","","","","","","",""
" 제주치유숲 Global Ageing 치유농장",2,"y","2","2","","","","15:00","11:00","y","","",""
"산호펜션",,"","","","","","","","","","","",""
"예다움휴양펜션",,"","","","","","","","","","","",""
"성산풀하우스",,"","","","","","","","","","","",""
"발로바쉬",,"","","","","","","","","","","",""
"하늘땅물벗펜션",,"","","","","","","","","","","",""
"너울빌리지",,"","","","","","","","","","","",""
"바사팬스파",,"","","","","","","","","","","",""
"로베로호텔",,"","","","","","","","","","","",""
"햇살정원 제주캠핑",,"","","","","","","","","","","",""
"몬딱쉼터",,"","","","","","","","","","","",""
"바다추억",,"","","","","","","","","","","",""
"테마하우스",,"","","","","","","","","","","",""
"비치조아",,"","","","","","","","","","","",""
"가까이에파도소리",,"","","","","","","","","","","",""
"볕들이펜션",,"","","","","","","","","","","",""
"부띠끄풀빌라루온토",,"","","","","","","","","","","",""
"제주팡숑예래",,"","","","","","","","","","","",""
"파크사이드호텔",,"","","","","","","","","","","",""
"캐빈타운",,"","","","","","","","","","","",""
"팔도민박",,"","","","","","","","","","","",""
"조은리조트",,"","","","","","","","","","","",""
"목조 독채민박 멍3닷컴",,"","","","","","","","","","","",""
"로뎀펜션",,"","","","","","","","","","","",""
"뽀요요펜션",,"","","","","","","","","","","",""
"우도사랑",,"","","","","","","","","","","",""
"비안",,"","","","","","","","","","","",""
"브라운캐빈",,"","","","","","","","","","","",""
"코델리아리조트",,"","","","","","","","","","","",""
"콤마게스트하우스",,"","","","","","","","","","","",""
"블루네집",,"","","","","","","","","","","",""
"제주 오션팰리스 호텔",,"","","","","","","","","","","",""
"라마다 제주 함덕 호텔",,"","","","","","","","","","","",""
"바다파파",,"","","","","","","","","","","",""
"방울풍뎅이 하우스",,"","","","","","","","","","","",""
"바다해호텔",,"","","","","","","","","","","",""
"피노호텔",,"","","","","","","","","","","",""
"해성파크텔",,"","","","","","","","","","","",""
"바다와 공원",,"","","","","","","","","","","",""
"소담펜션",,"","","","","","","","","","","",""
"제주란펜션",,"","","","","","","","","","","",""
"be Lazy B&B",,"","","","","","","","","","","",""
"제주바다펜션",,"","","","","","","","","","","",""
"inn jeju 인제주 게스트하우스",,"","","","","","","","","","","",""
"제주휴리조트",,"","","","","","","","","","","",""
"해바라기 펜션",,"","","","","","","","","","","",""
"제주부영호텔엔리조트",,"","","","","","","","","","","",""
"테디밸리호텔",,"","","","","","","","","","","",""
"아스타호텔",,"","","","","","","","","","","",""
"뉴크라운호텔",,"","","","","","","","","","","",""
"헤리티지",,"","","","","","","","","","","",""
"돈내코힐 리조트",,"","","","","","","","","","","",""
"비파민박",,"","","","","","","","","","","",""
"오빌하우스",,"","","","","","","","","","","",""
"제주마리나관광호텔",,"","","","","","3","15:00","11:00","","","",""
"호텔더원",,"","","","","","","","","","","",""
"제주코기네",,"","","","","","","","","","","",""
"캐슬 드 한림",,"","","","","","","","","","","",""
"리치웨이 펜션",,"","","","","","","","","","","",""
"제주아이비호텔",,"","","","","","","","","","","",""
"쉴만한 물가",,"","","","","","","","","","","",""
"골든튤립 제주 성산호텔",,"","","","","","","","","","","",""
"하도리일번지",,"","","","","","","","","","","",""
"엠스테이호텔",,"","","","","","","","","","","",""
"펜션연리",,"","","","","","","","","","","",""
"포시즌펜션",,"","","","","","","","","","","",""
"디아넥스 호텔",,"","","","","","","","","","","",""
"쿨쿨하우스",,"","","","","","","","","","","",""
"서귀포KAL호텔",,"","","","","","5","14:00","12:00","","","",""
"서귀포시달빛게스트하우스",,"","","","","","","","","","","",""
"선스토리",,"","","","","","","","","","","",""
"제주마실게스트하우스",,"","","","","","","","","","","",""
"호텔 리젠트마린",,"","","","","","","","","","","",""
"제주별바람",,"","","","","","","","","","","",""
"숲골 제주독채펜션",,"","","","","","","","","","","",""
"배배게스트하우스",,"","","","","","","","","","","",""
"마레보 리조트",,"","","","","","","","","","","",""
"푸른솔맑은향",,"","","","","","","","","","","",""
"베리안",,"","","","","","","","","","","",""
"별똥별채집소",,"","","","","","","","","","","",""
"셋째날",,"","","","","","","","","","","",""
"소리게스트하우스",,"","","","","","","","","","","",""
"아인스호텔",,"","","","","","","","","","","",""
"라벤다호텔",,"","","","","","","","","","","",""
"홍익샤모니리조트",,"","","","","","","","","","","",""
"홍익제주호텔",,"","","","","","","","","","","",""
"트리하우스",,"","","","","","","","","","","",""
"중문빌리지",,"","","","","","","","","","","",""
"몬떼뷰 스테이",,"","","","","","","","","","","",""
"민박하얀집",,"","","","","","","15:00","11:00","","","평상, 파라솔",""
"바당정원펜션",,"","","","","","","15:00","11:00","","","",""
"나날 게스트하우스",,"","","","","","","16:00","10:00","","","",""
"씨스테이호텔",,"","","","","","","","","","","",""
"레지나팬션",,"","","","","","","","","","","",""
"산토리니 펜션",,"","","","","","","","","","","",""
"도원펜션",,"","","","","","","","","","","",""
"일출썬 펜션",,"","","","","","","","","","","",""
"황토골",,"","","","","","","","","","","",""
"무위재",,"","","","","","","","","","","",""
"덕천씨엘빌",,"","","","","","","","","","","",""
"나쿠펜다 제주",,"","","","","","","","","","","",""
"제주엘루이호텔",,"","","","","","","","","","","",""
"제주공항 고추잠자리 게스트하우스",,"","","","","","","","","","","",""
"미도호스텔",,"","","","","","","16:00","11:00","","","",""
"비앤비호텔",,"","","","","","","","","","","",""
"웰컴모텔",,"y","1","2","","y","0","03:00","12:00","y","y","",""
"웰컴모텔",,"y","1","2","","y","0","03:00","12:00","y","y","",""
"밀감나무펜션",,"","","","","","","","","","","",""
"바다드림",,"","","","","","","","","","","",""
"산호상점&하우스",,"","","","","","","","","","","",""
"여래게스트하우스",,"","","","","","","","","","","",""
"베스트웨스턴제주호텔",,"","","","","","","","","","","",""
"썬라이즈호텔",,"","","","","","","","","","","",""
"애월포구풍경",,"","","","","","","","","","","",""
"하바나블루스",,"","","","","","","","","","","",""
"랜딩관 제주신화월드 호텔앤리조트",,"","","","","y","","15:00","12:00","","y","사우나","키즈 클럽 ‘플레이타임’ (유료), 유모차 대여 서비스"
"블루팜파크",,"","","","","","","","","","","",""
"에코힐글램핑",,"","","","","","","","","","","",""
"하얀도화지",,"","","","","","","","","","","",""
"절물길펜션",,"","","","","","","","","","","",""
"수필하우스",,"","","","","","","","","","","",""
"숨비아일랜드",,"","","","","","","","","","","",""
"안녕프로젝트 게스트하우스",,"","","","","","","","","","","",""
"GUROOMI",,"","","","","","","","","","","",""
"IGH펜션",,"","","","","","","","","","","",""
"푸른콘도",,"","","","","","","","","","","",""
"cafe말/개스트하우스 말",,"","","","","","","","","","","",""
"팜밸리리조트",,"","","","","","","","","","","",""
"가름게스트하우스",,"","","","","","","","","","","",""
"가산토방",,"","","","","","","","","","","",""
"두베하우스",,"","","","","","","","","","","",""
"폴리 파크 카라반",,"","","","","","","","","","","",""
"프레리아",,"","","","","","","","","","","",""
"가족민박",,"","","","","","","","","","","",""
"감비나무",,"","","","","","","15:00","11:00","","","",""
"휴양펜션 돌과바람",,"","","","","","","","","","","",""
"Jeju in aA게스트하우스",,"","","","","","","","","","","",""
"보타니1596",,"","","","","","","","","","","",""
"건축학개론펜션",,"","","","","","","","","","","",""
"하바다 통나무집",,"","","","","","","","","","","",""
"하이클래스제주",,"","","","","","","","","","","",""
"놀이터게스트하우스",,"","","","","","","","","","","",""
"걸리버여행",,"","","","","","","","","","","",""
"고내촌휴양펜션",,"","","","","","","","","","","",""
"숲속의궁전",,"","","","","","","","","","","",""
"안트레 펜션",,"","","","","","","","","","","",""
"바람돌이하우스",,"","","","","","","","","","","",""
"쫄깃센터",,"","","","","","","","","","","",""
"103순례자의집",,"","","","","","","","","","","",""
"해마지펜션",,"","","","","","","","","","","",""
"제마펜션",,"","","","","","","","","","","",""
"하워드 존슨 호텔 제주 서귀포 하버",,"","","","","","","","","","","",""
"JJ하우스",,"","","","","","","","","","","",""
"돌담민박",,"","","","","","","","","","","",""
"초원게스트하우스",,"","","","","","","","","","","",""
"제주샘모루펜션",,"","","","","","","","","","","",""
"추자섬민박",5,"n","1","2","","","0","","","y","n","",""
"하얀언덕",,"","","","","","","","","","","",""
"늘작",,"","","","","","","","","","","",""
"스카이리더스호텔",,"","","","","","","","","","","",""
"234242342434",32423,"y","1","2","234234","y","3","01:30","02:30","n","n","234","2344"
"아버지의 바다",,"","","","","","","","","","","",""
"바다숨소리스파펜션",,"","","","","","","","","","","",""
"쥬빌리펜션",,"","","","","","","","","","","",""
"파더하우스",,"","","","","","","","","","","",""
"펠리스타운",,"","","","","","","","","","","",""
"동양콘도",,"","","","","","","","","","","",""
"스마일모텔",,"","","","","","","","","","","",""
"파크 선샤인 제주",,"","","","","","","","","","","",""
"해피데이 민박",,"","","","","","","","","","","",""
"솔바람풍경소리펜션",,"","","","","","","","","","","",""
"신산게스트하우스",,"","","","","","","","","","","",""
"스쿠버스토리",,"","","","","","","","","","","",""
"아뜨네통나무펜션",,"","","","","","","","","","","",""
"아름다운리조트",,"","","","","","","","","","","",""
"웰컴호스텔",10,"y","1","2","","y","2","00:00","00:00","y","y","",""
"나무이야기게스트하우스",,"","","","","","","","","","","",""
"블랙스톤리조트",,"","","","","","","","","","","",""
"켄싱턴리조트 제주 한림점",,"","","","","","","","","","","",""
"폴에이리조트",,"","","","","","","16:00","11:00","","","",""
"풍경호텔(풍경관광호텔)",,"","","","","","","","","","","",""
"필그림 BnB",,"","","","","","","","","","","",""
"추자바다 25시",,"","","","","","","","","","","",""
"제주노블레스관광호텔",,"","","","","","","","","","","",""
"이디하우스n카페",,"","","","","","","","","","","",""
"포유펜션",,"","","","","","","","","","","",""
"엄블랑펜션",,"","","","","","","","","","","",""
"편운산장",,"","","","","","","","","","","",""
"제주알호텔(R호텔)",,"","","","","","","","","","","",""
"돌빌리지펜션",,"","","","","","","","","","","",""
"마빈",,"","","","","","","","","","","",""
"나무이야기게스트하우스 2호점",,"","","","","","","","","","","",""
"알랑가게스트하우스",,"","","","","","","","","","","",""
"나바론민박",,"","","","","","","","","","","",""
"갤럭시호텔 제주",,"","","","","","","","","","","",""
"제니아호텔",,"","","","","","","","","","","",""
"블루마운틴호텔",,"","","","","","","","","","","",""
"엠버관광호텔",,"","","","","","","","","","","",""
"더쇼어호텔제주",,"","","","","","","","","","","",""
"라자관광호텔",,"","","","","","","","","","","",""
"베니키아 아이진호텔",,"","","","","","","","","","","",""
"이어도펜션",,"","","","","","","","","","","",""
"해변의집",,"","","","","","","","","","","",""
"씨제이 관광호텔",,"","","","","","","","","","","",""
"할망숙소",,"","","","","","","","","","","",""
"골든비치",,"","","","","","","","","","","",""
"해뜨는집 (도두)",,"","","","","","","","","","","",""
"더비비스제주",,"","","","","","","","","","","",""
"한라하이츠펜션",,"","","","","","","","","","","",""
"담앤루펜션리조트",,"","","","","","","","","","","",""
"뚜르드제주게스트하우스",7,"n","2","1","101번 급행 - 201번 환","n","0","17:00","10:00","n","","카페",""
"단빌리지게스트하우스",,"","","","","","","","","","","",""
"제주모모",,"","","","","","","","","","","",""
"태성민박",6,"n","1","2","","y","0","","","y","n","",""
"미래하우스",,"","","","","","","","","","","",""
"닐펜션",,"","","","","","","","","","","",""
"소섬바당",,"","","","","","","","","","","",""
"전원민박",,"","","","","","","","","","","",""
"JK라마다앙코르 제주연동호텔",,"","","","","","","","","","","",""
"더살다",,"","","","","","","","","","","",""
"제이앤클로이",,"","","","","","","","","","","",""
"밥게스트하우스",,"","","","","","","","","","","",""
"오조리비앤비(Ojoribnb)",,"","","","","","","","","","","",""
"하늘을달리다",,"","","","","","","","","","","",""
"토마토하우스",,"","","","","","","","","","","",""
"해돋는마을",,"","","","","","","","","","","",""
"해오름정원",,"","","","","","","","","","","",""
"잼잼팩토리",,"","","","","","","","","","","",""
"마라도게스트하우스",,"","","","","","","","","","","",""
"단추스테이 단추숲",,"","","","","","","","","","","",""
"아모렉스리조트",,"","","","","","","","","","","",""
"제주파크랜드",,"","","","","","","","","","","",""
"야스라기펜션",,"","","","","","","","","","","",""
"다솜펜션",,"","","","","","","","","","","",""
"쇠소깍섬도리왓펜션",,"","","","","","","","","","","",""
"하쿠나마타타게스트하우스",,"","","","","","","","","","","",""
"이뻬게스트하우스",,"","","","","","","","","","","",""
"바다의향기",,"","","","","","","","","","","",""
"산과바다사이",,"","","","","","","","","","","",""
"사랑터울",,"","","","","","","","","","","",""
"밸류호텔 서귀포(VALUE HOTEL Seogwipo JS)",,"","","","","","","","","","","",""
"바다위올레펜션",,"","","","","","","","","","","",""
"켄싱턴제주호텔",,"","","","","","","","","","","",""
"그라벨호텔제주",,"","","","","","","","","","","",""
"호텔 샬롬제주",,"","","","","","","","","","","",""
"제주돌집2호점 (스코리아)",,"","","","","","","","","","","",""
"강남하우스펜션",,"","","","","","","","","","","",""
"JAY&CHLOE",,"","","","","","","","","","","",""
"대명 샤인빌리조트",,"","","","","","","","","","","",""
"제주BNB펜션",,"","","","","","","","","","","",""
"썬비치민박",,"","","","","","","","","","","",""
"백악관민박",,"","","","","","","","","","","",""
"초록새록",,"","","","","","","","","","","",""
"꿈꾸는바다",,"","","","","","","","","","","",""
"산방산에펜션",,"","","","","","","","","","","",""
"동촌하우스",,"","","","","","","","","","","",""
"우도노을사랑",,"","","","","","","","","","","",""
"한모살",,"","","","","","","","","","","",""
"제주쉼표",,"","","","","","","","","","","",""
"메모리제주펜션",,"","","","","","","","","","","",""
"펠리시아호텔",,"","","","","","","","","","","",""
"엠버하우스",,"","","","","","","","","","","",""
"지현민박",,"","","","","","","","","","","",""
"바당갤러리펜션",,"","","","","","","","","","","",""
"더하우스펜션",,"","","","","","","","","","","",""
"더코브호텔",,"","","","","","","","","","","",""
"낭만펜션",,"","","","","","","","","","","",""
"하도하도1929",,"","","","","","","","","","","",""
"신흥소시민",,"","","","","","","","","","","",""
"까사데비발디호텔",,"","","","","","","","","","","",""
"게스트하우스 클럽 제이제이",,"","","","","","","","","","","",""
"그림그리는펜션",,"","","","","","","","","","","",""
"블루마린",,"","","","","","","","","","","",""
"해비치 바람의집 펜션&카페",,"","","","","","","","","","","",""
"아침해변",,"","","","","","","","","","","",""
"베누스무인텔",,"","","","","","","","","","","",""
"루시드봉봉",,"","","","","","","","","","","",""
"예이츠산장",,"","","","","","","","","","","",""
"오션그랜드호텔 (함덕)",,"","","","","","","","","","","",""
"펜션머물다",,"","","","","","","","","","","",""
"표선이레하우스",,"","","","","","","","","","","",""
"비젠빌리지",,"","","","","","","","","","","",""
"함덕산티아고게스트하우스",,"","","","","","","","","","","",""
"예스준게스트하우스",5,"n","2","1","버스","n","0","16:00","10:30","y","n","레스토랑, 카페, 펍, 제주감성소품샵",""
"펜션소설",,"","","","","","","","","","","",""
"지니코티지",,"","","","","","","","","","","",""
"욜로게스트하우스",,"","","","","","","","","","","",""
"디아일랜드마리나",,"","","","","","","","","","","",""
"하도리보통날",,"","","","","","","","","","","",""
"푸른밤글램핑게스트하우스",,"","","","","","","","","","","",""
"제주인호텔",,"","","","","","","","","","","",""
"자유게스트하우스",,"","","","","","","","","","","",""
"금호리조트제주",,"","","","","","","","","","","",""
"아올키즈펜션",,"","","","","","","","","","","",""
"마눌펜션",4,"n","3","2","버스, 렌트카","n","","16:00","11:00","y","n","",""
"비고르",,"","","","","","","","","","","",""
"뒹글하우스",,"","","","","","","","","","","",""
"게으르게",,"","","","","","","","","","","",""
"청춘게스트하우스",,"","","","","","","","","","","",""
"바람이머물다",,"","","","","","","","","","","",""
"노낭게스트하우스",,"","","","","","","","","","","",""
"신등대민박",5,"n","1","1","","n","0","","","y","n","",""
"제주다이브 게스트하우스",,"","","","","","","","","","","",""
"제주이글루",,"","","","","","","","","","","",""
"핫플게스트하우스",,"","","","","","","","","","","",""
"객의하우스",,"","","","","","","","","","","",""
"수상한소금밭게스트하우스",,"","","","","","","","","","","",""
"해비치호텔앤드리조트",,"","","","","","5","15:00","12:00","","","",""
"포도호텔",,"","","","","","","","","","","",""
"아이비테라스",,"","","","","","","","","","","",""
"제주부영청소년수련원",86,"","","","","","0","15:00","11:00","","y","",""
"소랑풀빌라",,"","","","","","","","","","","",""
"아라벨롱 게스트하우스",,"","","","","","","","","","","",""
"제주 메이 더 호텔 카라반빌리지",,"","","","","","","","","","","",""
"사차원게스트하우스",,"","","","","","","","","","","",""
"성산아침노을펜션",,"","","","","","","","","","","",""
"소소게스트하우스",,"","","","","","","","","","","",""
"섬타임즈",,"","","","","","","","","","","",""
"고불락하우스",,"","","","","","","","","","","",""
"쪼인게스트하우스",,"","","","","","","","","","","",""
"태흥리조트",,"","","","","","","","","","","",""
"편백나무 한옥펜션 먼나머루",,"","","","","","","","","","","",""
"동백동산펜션",,"","","","","","","","","","","",""
"우리희망이 게스트하우스",,"","","","","","","16:00","10:00","y","","",""
"관식이네민박",,"","","","","","","","","","","",""
"하도리민박",,"","","","","","","","","","","",""
"UTS제주골프빌리지",,"","","","","","","","","","","",""
"한옥휴양타운펜션",,"","","","","","","","","","","",""
"스테이 협재10길 ",4,"n","3","1","","","0","15:00","11:00","","","",""
"도시락게스트하우스",,"","","","","","","","","","","",""
"호텔섬오름",,"","","","","","","","","","","",""
"고양이정원",,"","","","","","","","","","","",""
"Oh! 세화! (오세화게스트하우스)",,"","","","","","","","","","","",""
"봉쟈 게스트하우스",,"","","","","","","","","","","",""
"볼레낭펜션",,"","","","","","","","","","","",""
"콴도제주",,"","","","","","","","","","","",""
"히든클리프 호텔 앤 네이쳐",,"","","","","","","","","","","",""
"나무처럼 게스트하우스",,"","","","","","","","","","","",""
"안녕한계절",,"","","","","","","","","","","",""
"산방산클립게스트하우스",,"","","","","","","","","","","",""
"라림부띠끄호텔",,"","","","","","","","","","","",""
"덕후게스트하우스",,"","","","","","","","","","","",""
"흰고래게스트하우스",,"","","","","","","","","","","",""
"달빛빌리지",,"","","","","","","","","","","",""
"안녕제주",,"","","","","","","","","","","",""
"언니게스트하우스",,"","","","","","","","","","","",""
"노닐다 게스트하우스",,"","","","","","","","","","","",""
"뱅디가름게스트하우스",,"","","","","","","","","","","",""
"동굴민박",,"","","","","","","","","","","",""
"핸즈인제주",,"","","","","","","","","","","",""
"리니민박(RINY)",,"","","","","","","","","","","",""
"이디wan",,"","","","","","","","","","","",""
"수하리839",,"","","","","","","","","","","",""
"송림원",,"","","","","","","","","","","",""
"하도하도3200",,"","","","","","","","","","","",""
"아토하우스",,"","","","","","","","","","","",""
"바다별",,"","","","","","","","","","","",""
"하늘정원펜션",,"","","","","","","","","","","",""
"파밀리아호텔",,"","","","","","","","","","","",""
"오시록헌펜션",,"","","","","","","","","","","",""
"아모르하우스",,"","","","","","","","","","","",""
"옥빛바다민박",,"","","","","","","","","","","",""
"나무아래독채펜션",,"","","","","","","","","","","",""
"소풍BnB",,"","","","","","","","","","","",""
"몬딱게스트하우스",,"","","","","","","","","","","",""
"모루티",,"","","","","","","","","","","",""
"제주 스카이라인 휴양펜션",,"","","","","","","","","","","",""
"메르빌 펜션 & 게스트하우스",,"","","","","","","","","","","",""
"씨엘드제주",,"","","","","","","","","","","",""
"밍기적게스트하우스",,"","","","","","","","","","","",""
"거드락지민박",,"","","","","","","","","","","",""
"별마로펜션",,"","","","","","","","","","","",""
"더들집",,"","","","","","","","","","","",""
"휘슬락호텔",,"","","","","","","","","","","",""
"활엽수 게스트하우스",,"","","","","","","","","","","",""
"힐링캠프펜션",,"","","","","","","","","","","",""
"더쉼팡스파&풀빌라",,"","","","","","","","","","","",""
"에스호텔",,"","","","","","","","","","","",""
"파파야게스트하우스 펜션",,"","","","","","","","","","","",""
"미르앤러브게스트하우스",,"","","","","","","","","","","",""
"랑 글램핑",,"","","","","","","","","","","",""
"쉼게스트하우스",,"","","","","","","","","","","",""
"다올제민박",,"","","","","","","","","","","",""
"라마다 제주시티호텔",,"","","","","","","","","","","",""
"볼몽지엥하우스",,"","","","","","","","","","","",""
"소낭재",,"","","","","","","","","","","",""
"체이슨호텔 더 스마일",,"","","","","","","","","","","",""
"포구민박",,"","","","","","","","","","","",""
"에덴통나무빌리지",,"","","","","","","","","","","",""
"나인스파빌",,"","","","","","","","","","","",""
"해안길펜션",,"","","","","","","","","","","",""
"우도몽생이",,"","","","","","","","","","","",""
"빌림",,"","","","","","","","","","","",""
"더블루제주",,"","","","","","","","","","","",""
"맑은바람 펜션",,"","","","","","","","","","","",""
"드헤브펜션",,"","","","","","","","","","","",""
"블랙롯지",,"","","","","","","","","","","",""
"포비네오두막게스트하우스",,"","","","","","","","","","","",""
"제주항공우주호텔",,"","","","","","","","","","","",""
"길섶나그네펜션",,"","","","","","","","","","","",""
"커플게스트하우스",,"","","","","","","","","","","",""
"발리인제주",,"","","","","","","","","","","",""
"메종드판포",,"","","","","","","","","","","",""
"월정소랑",,"","","","","","","","","","","",""
"제주목화휴양펜션",,"","","","","","","","","","","",""
"아이존호텔",,"","","","","","","","","","","",""
"스카이워커",,"","","","","","","","","","","",""
"비지터게스트하우스",,"","","","","","","","","","","",""
"빌라배알로",,"","","","","","","","","","","",""
"무이비엔",,"","","","","","","","","","","",""
" 메리어트관 제주신화월드 호텔앤리조트",,"","","","","y","","15:00","12:00","","y","사우나","유모차 대여 서비스, 키즈 클럽 ‘플레이타임’ (유료), 카시트 대여 서비스"
"자연인",,"","","","","","","","","","","",""
"마린포트리조트",,"","","","","","","","","","","",""
"에이티눈호텔",,"","","","","","","","","","","",""
"마레카펜션",,"","","","","","","","","","","",""
"우도쉼팡게스트하우스",,"","","","","","","","","","","",""
"클레멘타인",,"","","","","","","","","","","",""
"세화리움",,"","","","","","","","","","","",""
"매직우드펜션",,"","","","","","","","","","","",""
"차니비니게스트하우스",,"","","","","","","","","","","",""
"카사마리나",,"","","","","","","","","","","",""
"해녀촌민박",,"","","","","","","","","","","",""
"우도스쿠버리조트",,"","","","","","","","","","","",""
"서머셋 제주신화월드 호텔앤리조트",,"","","","","y","","15:00","12:00","","y","물품보관소,","유모차 대여 서비스, 어린이 야외 놀이터"
"유니콘펜션",,"","","","","","","","","","","",""
"썬비치리조트",,"","","","","","","","","","","",""
"제주가온29",,"","","","","","","","","","","",""
"도로시게스트하우스",,"","","","","","","","","","","",""
"배목수집",,"","","","","","","","","","","",""
"용두암빌리지",,"","","","","","","","","","","",""
"제주마로펜션",,"","","","","","","","","","","",""
"자넷앤캐시",,"","","","","","","","","","","",""
"또랑게스트하우스",,"","","","","","","","","","","",""
"펜션형민박꿈꾸는숲",,"","","","","","","","","","","",""
"오션스카이",,"","","","","","","","","","","",""
"제주사랑 펜션",,"","","","","","","","","","","",""
"데이빗펜션",,"","","","","","","","","","","",""
"예닮게스트하우스",,"","","","","","","","","","","",""
"사면초가펜션",,"","","","","","","","","","","",""
