"콘텐츠명","추천인ID","생성일"
"눈이 푹푹 나리는 날엔 <겨울에 가볼만한 제주 야외 관광지>","USR_00000025136",17/12/21
"제주올레 17코스","USR_00000025636",17/12/27
"혼자라도 괜찮아, 분위기 좋은 제주 혼술, 혼밥","USR_00000025637",17/12/27
"망고홀릭 제주본점","USR_00000012103",17/12/27
"망고홀릭 제주본점","USR_00000017790",17/12/27
"사형제횟집","USR_00000025643",17/12/27
"제주알호텔(R호텔)","USR_00000025650",17/12/27
"2018년 1월 놓치지 말아야 할 제주 관광 10선 <소소하지만 확실한 행복, 제주에서 새해를 설계하다>","USR_00000025802",18/01/04
"서귀포치유의숲","USR_00000025807",18/01/04
"델문도","USR_00000025827",18/01/06
"용두암","USR_00000026062",18/01/16
"플레이케이팝","USR_00000026187",18/01/24
"제주김녕미로공원","USR_00000026231",18/01/27
"해비치호텔앤드리조트","USR_00000019883",18/01/31
"하늘을 닮고 가까이 닿으려는 <마을 세화마을 여행기>","USR_00000013701",18/02/06
"18,000 신들의 어머니, 금백조 신화가 있는 <송당마을 여행기>","USR_00000013701",18/02/06
"하늘을 닮고 가까이 닿으려는 <마을 세화마을 여행기>","USR_00000026219",18/02/06
"성산일출봉(UNESCO 세계자연유산)","USR_00000026338",18/02/07
"사려니숲길","USR_00000026405",18/02/08
"이호테우해수욕장_old","USR_00000026411",18/02/08
"블루하와이리조트","USR_00000026432",18/02/09
"봄날카페","USR_00000026437",18/02/09
"용연","USR_00000026501",18/02/13
"코코몽 에코파크","USR_00000026538",18/02/17
"천지연폭포","USR_00000026492",18/02/18
"제주bp게스트하우스 JEJU BP GUESTHOUSE","USR_00000026571",18/02/19
"제주bp게스트하우스 JEJU BP GUESTHOUSE","USR_00000026574",18/02/19
"명당양과","USR_00000026620",18/02/21
"2018년 3월에 놓치지 말아야 할 관광 10선 <봄 향기 너울거리는 제주>","USR_00000023386",18/02/21
"감성 짙은 제주 소품, 생활용품샵","USR_00000026645",18/02/21
"섭지코지","USR_00000026872",18/03/04
"돈사돈","USR_00000026951",18/03/08
"함덕해수욕장","USR_00000023953",17/11/20
"카멜리아힐","USR_00000024393",17/11/20
"성산일출봉(UNESCO 세계자연유산)","USR_00000024399",17/11/21
"금호리조트제주","USR_00000007358",17/11/21
"봄날카페","USR_00000024412",17/11/21
"한라앤탐","USR_00000003739",17/11/24
"성산일출봉(UNESCO 세계자연유산)","USR_00000023777",17/11/27
"섭지코지","USR_00000023777",17/11/27
"메종글래드 제주","USR_00000023672",17/11/28
"사려니숲길","USR_00000024502",17/11/28
"백약이오름","USR_00000023777",17/11/28
"닭머르해안길","USR_00000024502",17/11/28
"조천함덕해안도로","USR_00000024502",17/11/28
"제주올레 1코스","USR_00000024502",17/11/28
"동문재래시장","USR_00000024947",17/12/05
"제주조천스위스마을","USR_00000024393",17/12/06
"소인국테마파크","USR_00000024342",17/12/07
"내가 먼저 꼭 가보고 싶은 <제주 카페 투어 10>","USR_00000025827",18/01/06
"겨울 한라산과의 밀당 <어리목 코스 눈꽃 트래킹>","USR_00000025929",18/01/10
"거문오름(UNESCO 세계자연유산)","USR_00000026049",18/01/16
"카멜리아힐","USR_00000025963",18/01/18
"성산·오조 지질트레일","USR_00000025974",18/01/19
"나미송 머무는 곳","USR_00000026125",18/01/19
"서귀포치유의숲","USR_00000026147",18/01/20
"소소게스트하우스","USR_00000026188",18/01/24
"그리운바다성산포","USR_00000026385",18/02/06
"신창~차귀해안도로","USR_00000026409",18/02/08
"우도(해양도립공원)","USR_00000022947",18/02/13
"새별오름","USR_00000026530",18/02/16
"우유부단","USR_00000026531",18/02/16
"18,000 신들의 어머니, 금백조 신화가 있는 <송당마을 여행기>","USR_00000002477",18/02/21
"제주해양동물박물관","USR_00000013008",18/02/23
"제주러브랜드","USR_00000026785",18/02/28
"쉐프 이야기","USR_00000026795",18/02/28
"제주를 달려요 <동북 201번 버스여행>","USR_00000026829",18/03/02
"제주를 달려요 <동남 201번 버스여행 >","USR_00000026829",18/03/02
"제주조천스위스마을","USR_00000026841",18/03/02
"성산일출봉과 우도를 한껏 품은 마을 <종달마을 여행기>","USR_00000026219",18/03/05
"꽃길만 걸어요 <제주 봄꽃 여행>","USR_00000026931",18/03/07
"호텔 리젠트마린","USR_00000026951",18/03/08
"제주 마을 구석구석을 말하다 <제주 마을여행 활동가, 삼춘마을 만들기 프로젝트>","USR_00000027034",18/03/12
"아침미소목장","USR_00000027050",18/03/13
"서귀포치유의숲","USR_00000027071",18/03/14
"제주조천스위스마을","USR_00000027159",18/03/18
"제주해양동물박물관","USR_00000027186",18/03/19
"제주노블레스관광호텔","USR_00000027197",18/03/20
"알뜨르비행장","USR_00000027238",18/03/21
"2018년 4월 놓치지 말아야 할 관광 10선 <나에게 선물하는 휴식, 케렌시아 제주>","USR_00000027124",18/03/22
"5월에 놓치지 말아야 할 <오감으로 느끼는 제주의 10가지 컬러>","USR_00000027278",18/03/23
"제주절물자연휴양림","USR_00000027124",18/03/23
"갓포하루","USR_00000018117",18/03/26
"포구민박","USR_00000017772",18/03/26
"갓포하루","USR_00000017792",18/03/26
"제주4.3평화공원","USR_00000027359",18/03/27
"라붕제주 cafe","USR_00000027364",18/03/27
"섬소나이","USR_00000027387",18/03/28
"섬소나이","USR_00000027396",18/03/28
"포도갤러리 in 포도호텔","USR_00000027402",18/03/28
"쇠소깍","USR_00000027419",18/03/28
"제주4.3평화공원","USR_00000027477",18/03/31
"섯알오름","USR_00000027563",18/04/01
"제주4.3평화공원","USR_00000027573",18/04/02
"딤섬9898","USR_00000024339",17/11/19
"퍼시픽 리솜 마린스테이지","USR_00000024342",17/11/19
"새별오름","USR_00000007358",17/11/21
"비자림","USR_00000023777",17/11/30
"봄날카페","USR_00000024774",17/11/30
"눈이 푹푹 나리는 날엔 <겨울에 가볼만한 제주 야외 관광지>","USR_00000024803",17/11/30
"거문오름(UNESCO 세계자연유산)","USR_00000023777",17/12/01
"카멜리아힐","USR_00000024817",17/12/01
"오설록티뮤지엄","USR_00000024817",17/12/01
"곽지해수욕장","USR_00000024817",17/12/01
"금능해수욕장","USR_00000024817",17/12/01
"제주국제공항","USR_00000024817",17/12/01
"성산일출봉(UNESCO 세계자연유산)","USR_00000008957",17/12/01
"섭지코지","USR_00000008957",17/12/01
"협재해수욕장","USR_00000003832",17/12/05
"베니키아 아이진호텔","USR_00000024393",17/12/05
"해녀박물관","USR_00000024494",17/12/05
"서귀포매일올레시장","USR_00000025072",17/12/08
"제주신영영화박물관 무비스타","USR_00000014073",17/12/15
"나미송 머무는 곳","USR_00000025593",17/12/24
"망고홀릭 법환점","USR_00000017790",17/12/27
"안덕계곡","USR_00000006534",18/01/06
"더마파크","USR_00000025821",18/01/07
"아스타호텔","USR_00000025901",18/01/09
"고집돌우럭(제주공항점)","USR_00000016514",18/01/16
"고집돌우럭(제주공항점)","USR_00000026060",18/01/16
"협재해수욕장","USR_00000024461",17/11/22
"제주돌문화공원","USR_00000024475",17/11/22
"낭만 가득, 억새길 따라 걷는 제주 가을 여행","USR_00000024502",17/11/22
"가을비 내리는 날, 가기 좋은 제주 명소","USR_00000024502",17/11/22
"숨은 매력 가득한 바다 마을 <김녕, 돈(豚)의 맛>","USR_00000024502",17/11/22
"이모와 삼촌네","USR_00000024502",17/11/22
"물영아리오름","USR_00000023777",17/11/23
"휴애리 자연생활공원","USR_00000024565",17/11/24
"화순곶자왈생태탐방숲길","USR_00000023777",17/11/24
"여미지식물원","USR_00000024691",17/11/28
"김녕금속공예벽화마을","USR_00000024502",17/11/28
"월정리해변","USR_00000020025",17/11/29
"그랑블루 요트투어","USR_00000024789",17/11/30
"새별오름","USR_00000013663",17/11/30
"이중섭거리","USR_00000008957",17/12/01
"쇠소깍","USR_00000024872",17/12/04
"마노르블랑","USR_00000024937",17/12/05
"곶자왈","USR_00000024994",17/12/07
"정방폭포","USR_00000009717",17/12/07
"귤꽃","USR_00000025002",17/12/07
"광치기해변","USR_00000025005",17/12/07
"마라도(마라해양도립공원)","USR_00000009717",17/12/07
"동문재래시장","USR_00000025034",17/12/08
"신흥소시민","USR_00000025067",17/12/08
"올래국수","USR_00000025072",17/12/08
"카멜리아힐","USR_00000025089",17/12/08
"당산봉(당오름,차귀오름)","USR_00000025020",17/12/13
"제주레포츠랜드","USR_00000025365",17/12/17
"제주레포츠랜드","USR_00000025368",17/12/17
"중문관광단지","USR_00000025373",17/12/17
"비젠빌리지","USR_00000025409",17/12/18
"브릭캠퍼스","USR_00000025418",17/12/19
"JK라마다앙코르 제주연동호텔","USR_00000025507",17/12/22
"서연의집(영화 건축학개론)","USR_00000017309",17/12/27
"제주올레 17코스","USR_00000025650",17/12/27
"메밀꽃차롱","USR_00000025827",18/01/06
"신창~차귀해안도로","USR_00000025827",18/01/06
"플레이케이팝","USR_00000025963",18/01/15
"제주돌문화공원","USR_00000025963",18/01/17
"가까이에파도소리","USR_00000026136",18/01/20
"붉은제주","USR_00000026188",18/01/24
"제주김만복(만복이네김밥집)","USR_00000015272",18/02/07
"용눈이오름","USR_00000026409",18/02/08
"용머리해안","USR_00000026409",18/02/08
"동문재래시장","USR_00000026501",18/02/13
"만장굴","USR_00000026544",18/02/17
"제주bp게스트하우스 JEJU BP GUESTHOUSE","USR_00000026572",18/02/19
"하늘을 닮고 가까이 닿으려는 <마을 세화마을 여행기>","USR_00000002477",18/02/21
"제주 마을 구석구석을 말하다 <제주 마을여행 활동가, 삼춘마을 만들기 프로젝트>","USR_00000002477",18/02/21
"제주해양동물박물관","USR_00000026672",18/02/22
"서귀포치유의숲","USR_00000026777",18/02/27
"제주도그릴","USR_00000026889",18/03/05
"삼춘PD가 추천하는 우리마을 명소 <제주 구좌읍 구석구석 마을여행>","USR_00000026219",18/03/05
"거문오름(UNESCO 세계자연유산)","USR_00000026938",18/03/07
"삼춘PD가 추천하는 우리마을 명소 <제주 구좌읍 구석구석 마을여행>","USR_00000027034",18/03/12
"애월한담해안산책로","USR_00000027077",18/03/14
"켄싱턴제주호텔","USR_00000027083",18/03/14
"거문오름(UNESCO 세계자연유산)","USR_00000027112",18/03/16
"갯깍주상절리","USR_00000027117",18/03/16
"벵디","USR_00000027165",18/03/19
"저지 예술인 마을","USR_00000027182",18/03/19
"제주해양동물박물관","USR_00000027188",18/03/19
"제주해양동물박물관","USR_00000027189",18/03/19
"우도피아","USR_00000027190",18/03/20
"제주올레냉면 제주노형점","USR_00000027227",18/03/21
"도토리키친","USR_00000027249",18/03/22
"2018년 4월 놓치지 말아야 할 관광 10선 <나에게 선물하는 휴식, 케렌시아 제주>","USR_00000027278",18/03/23
"용두암","USR_00000027319",18/03/25
"제주올레냉면 제주노형점","USR_00000027316",18/03/25
"제주의 아픔을 기억하다 <소설 '순이삼촌'을 따라가는 4.3 길>","USR_00000027323",18/03/25
"갓포하루","USR_00000017761",18/03/26
"갓포하루","USR_00000018464",18/03/26
"라붕제주 cafe","USR_00000019236",18/03/26
"갓포하루","USR_00000018701",18/03/26
"갓포하루","USR_00000017772",18/03/26
"라붕제주 cafe","USR_00000017792",18/03/26
"사려니숲길","USR_00000027344",18/03/26
"라붕제주 cafe","USR_00000027351",18/03/27
"갓포하루","USR_00000027351",18/03/27
"제주절물자연휴양림","USR_00000027353",18/03/27
"제주4.3평화공원","USR_00000027354",18/03/27
"갓포하루","USR_00000027364",18/03/27
"섬소나이","USR_00000027388",18/03/28
"섬소나이","USR_00000027389",18/03/28
"섬소나이","USR_00000027407",18/03/28
"갓포하루","USR_00000027408",18/03/28
"마레보 리조트","USR_00000027419",18/03/28
"섬소나이","USR_00000027424",18/03/29
"제주김만복(만복이네김밥집)","USR_00000027420",18/03/29
"제주왕벚꽃축제","USR_00000027430",18/03/29
"마린파크","USR_00000027337",18/03/29
"섬소나이","USR_00000027469",18/03/30
"동문재래시장","USR_00000027471",18/03/30
"사려니숲길","USR_00000027479",18/03/31
"서귀포매일올레시장","USR_00000027500",18/03/31
"섭지코지","USR_00000027652",18/04/03
"제주4.3평화공원","USR_00000027723",18/04/05
"함덕해수욕장","USR_00000017915",18/04/05
"관덕정","USR_00000027803",18/04/06
"에코 힐링의 공간 <사려니 숲과 비자림>","USR_00000027837",18/04/08
"곶자왈","USR_00000027858",18/04/09
"성산일출봉(UNESCO 세계자연유산)","USR_00000027634",18/04/03
"제주4.3평화공원","USR_00000027692",18/04/04
"제주민속오일시장","USR_00000027760",18/04/05
"관덕정","USR_00000027802",18/04/06
"쏠피쉬","USR_00000026240",18/04/07
"화해와 상생으로 나아가는 길 <4.3 길을 따라 걷다 -제주시 지역->","USR_00000027826",18/04/07
"주상절리대(중문대포해안)","USR_00000027833",18/04/07
"제주4.3평화공원","USR_00000027876",18/04/10
"호텔레오","USR_00000027881",18/04/10
"사려니숲길","USR_00000027636",18/04/03
"제주4.3평화공원","USR_00000027650",18/04/03
"포도호텔","USR_00000027340",18/04/04
"함덕백사장 & 서우봉","USR_00000027799",18/04/07
"제주4.3평화공원","USR_00000027854",18/04/08
"천지연폭포","USR_00000027858",18/04/09
"제주 에코 스위츠 펜션","USR_00000027858",18/04/09
"알뜨르비행장","USR_00000027858",18/04/09
"산방산 용머리해안 지질트레일","USR_00000027858",18/04/09
"진아영 할머니 집터","USR_00000027858",18/04/09
"제주4.3평화공원","USR_00000027868",18/04/09
"이호테우말등대","USR_00000027697",18/04/04
"관덕정","USR_00000027789",18/04/06
"한라산국립공원","USR_00000027257",18/04/08
"제주곶자왈도립공원","USR_00000027858",18/04/09
"라붕제주 cafe","USR_00000027861",18/04/09
"형제해안도로","USR_00000027858",18/04/09
"추사 유배길 - 3코스 사색의 길","USR_00000027858",18/04/09
"하멜기념비","USR_00000027858",18/04/09
"용머리해안","USR_00000027858",18/04/09
"녹산로유채꽃길","USR_00000027871",18/04/10
"관덕정","USR_00000027692",18/04/04
"제주4.3평화공원","USR_00000027740",18/04/05
"너븐숭이 4.3기념관","USR_00000027742",18/04/05
"한림공원","USR_00000027742",18/04/05
"제주4.3평화공원","USR_00000027815",18/04/07
"주상절리대(중문대포해안)","USR_00000027858",18/04/09
"너븐숭이 4.3기념관","USR_00000027645",18/04/03
"섭지코지 해녀밥상","USR_00000027689",18/04/04
"사려니숲길","USR_00000027808",18/04/06
"서귀포매일올레시장","USR_00000027858",18/04/09
"제주4.3평화공원","USR_00000027632",18/04/03
"다랑쉬오름(월랑봉)","USR_00000027692",18/04/04
"제주4.3평화공원","USR_00000027766",18/04/05
"제주4.3평화공원","USR_00000027767",18/04/05
"제주의 과거와 현재를 이어주는 길 <4.3 길을 따라 걷다 -서귀포 지역->","USR_00000027826",18/04/07
"제주4.3평화공원","USR_00000027826",18/04/07
"다랑쉬굴","USR_00000027826",18/04/07
"북촌국민학교","USR_00000027826",18/04/07
"쇠소깍","USR_00000027858",18/04/09
"제주4.3평화공원","USR_00000004091",18/04/11
"청수곶자왈","USR_00000027614",18/04/03
"월정리해변","USR_00000027615",18/04/03
"제주4.3평화공원","USR_00000027642",18/04/04
"제주4.3평화공원","USR_00000027786",18/04/06
"관덕정","USR_00000027826",18/04/07
"섯알오름","USR_00000027826",18/04/07
"섯알오름","USR_00000027858",18/04/09
"관덕정","USR_00000027895",18/04/10
"교래손칼국수","USR_00000027901",18/04/11
"호텔 더블유 신제주점(hotel W)","U000000000000082",18/04/19
"제주조천스위스마을게스트하우스","USR_00000000407",18/05/23
"한라산국립공원","USR_00000026362",18/05/24
"관덕정","U000000000000089",18/04/23
"제주4.3평화공원","USR_00000011456",18/05/25
"카페에 특별한 테마를 더하다 <제주도 이색 카페>","USR_00000000407",18/05/08
"성산일출봉(UNESCO 세계자연유산)","USR_00000011456",18/05/25
"한라산국립공원","USR_00000011456",18/05/25
"사려니숲길","USR_00000011456",18/05/25
"협재해수욕장","USR_00000011456",18/05/25
"우도(해양도립공원)","USR_00000011456",18/05/25
"할머니의 따뜻한 품 같은 <제주 돌집 숙소>","U000000000000103",18/05/25
"성산일출봉(UNESCO 세계자연유산)","USR_00000025940",18/05/17
"제주관광공사 중문면세점 (내국인)","U000000000000082",18/04/18
"범섬","U000000000000082",18/04/19
"2월 제주 관광 추천 <신들과 함께 봄맞을 채비를 하는 제주>","U000000000000082",18/04/18
"제주절물자연휴양림","U000000000000082",18/04/19
"한라산국립공원","U000000000000082",18/04/19
"삼춘PD가 추천하는 우리마을 명소 <제주 구좌읍 구석구석 마을여행>","U000000000000082",18/04/19
"롯데호텔 제주","U000000000000082",18/05/04
"성산일출봉(UNESCO 세계자연유산)","USR_00000000407",18/05/21
"우도(해양도립공원)","U000000000000103",18/05/24
"새별오름","U000000000000121",18/05/07
"제주김만복(만복이네김밥집)","USR_00000022947",18/05/29
"협재해수욕장","USR_00000025337",18/05/30
"만장굴","U000000000000223",18/05/30
"혼자라도 괜찮아, 분위기 좋은 제주 혼술, 혼밥","USR_00000028942",18/05/30
"금능석물원","U000000000000223",18/05/30
"브릭캠퍼스","U000000000000223",18/05/30
"올레7돈 (올레칠돈)","U000000000000223",18/05/30
"올래국수","U000000000000223",18/05/30
"돈사돈","U000000000000223",18/05/30
"산방식당(모슬포본점)","U000000000000223",18/05/30
"덕성원","U000000000000223",18/05/30
"테디베어사파리 테지움","U000000000000270",18/06/02
"브릭캠퍼스","U000000000000213",18/05/31
"봄날카페","U000000000000247",18/05/31
"앤트러사이트","U000000000000247",18/05/31
"구좌상회","U000000000000247",18/05/31
"평대랑 그네랑","U000000000000247",18/05/31
"함덕 멘도롱장","U000000000000247",18/05/31
"함덕해수욕장","U000000000000247",18/05/31
"몽상드애월(몽상)","U000000000000247",18/05/31
"애월더선셋","U000000000000247",18/05/31
"붉은제주","U000000000000247",18/05/31
"바람이머물다","U000000000000247",18/05/31
"우도(해양도립공원)","U000000000000247",18/05/31
"올래국수","U000000000000332",18/06/02
"더럭초등학교(구, 더럭분교)","U000000000000270",18/06/02
"벨롱장","USR_00000028419",18/06/04
"고집돌우럭(중문)","USR_00000028916",18/06/02
"삼다공원 야간콘서트·야몬딱털장","USR_00000028602",18/06/03
"섭지코지","U000000000000223",18/05/30
"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","U000000000000209",18/05/30
"2018년 5월 놓치지 말아야 할 제주 관광 10선 <눈부시게 아름다운, 제주 그리고 당신>","U000000000000209",18/05/30
"월정리해변","U000000000000223",18/05/30
"쇠소깍","U000000000000223",18/05/30
"비자림","U000000000000223",18/05/30
"신창~차귀해안도로","U000000000000223",18/05/30
"세화해변","U000000000000223",18/05/30
"청수곶자왈","U000000000000223",18/05/30
"제주조천스위스마을","U000000000000223",18/05/30
"쉬리의언덕","U000000000000223",18/05/30
"렛츠런팜제주","U000000000000223",18/05/30
"아이리스촬영지(하얀등대)","U000000000000223",18/05/30
"도순다원","U000000000000223",18/05/30
"제주레일바이크","U000000000000223",18/05/30
"퍼시픽 리솜 요트투어 샹그릴라","U000000000000223",18/05/30
"그리스신화박물관 / 트릭아이미술관","U000000000000223",18/05/30
"제주특별자치도 도립미술관","U000000000000223",18/05/30
"서연의집(영화 건축학개론)","U000000000000223",18/05/30
"리치망고","U000000000000223",18/05/30
"성산일출봉(UNESCO 세계자연유산)","U000000000000228",18/05/30
"세화해변","U000000000000247",18/05/31
"김녕해수욕장","U000000000000247",18/05/31
"협재해수욕장","U000000000000247",18/05/31
"금능해수욕장","U000000000000247",18/05/31
"제주레포츠랜드","U000000000000247",18/05/31
"제주절물자연휴양림","U000000000000392",18/06/03
"서귀포치유의숲","U000000000000259",18/06/04
"섭지코지","U000000000000548",18/06/06
"성산일출봉(UNESCO 세계자연유산)","U000000000000536",18/06/06
"청수곶자왈","USR_00000019616",18/06/06
"성산일출봉(UNESCO 세계자연유산)","U000000000000548",18/06/06
"협재해수욕장","U000000000000548",18/06/06
"월정리해변","U000000000000548",18/06/06
"애월해안도로","U000000000000548",18/06/06
"천지연폭포","U000000000000548",18/06/06
"신창~차귀해안도로","U000000000000548",18/06/06
"세화해변","U000000000000548",18/06/06
"금능해수욕장","U000000000000548",18/06/06
"애월한담해안산책로","U000000000000548",18/06/06
"천제연폭포","U000000000000548",18/06/06
"주상절리대(중문대포해안)","U000000000000548",18/06/06
"용담/용두암 해안도로","U000000000000548",18/06/06
"곽지해수욕장","U000000000000548",18/06/06
"김녕해수욕장","U000000000000548",18/06/06
"제주올레 1-1코스","U000000000000548",18/06/06
"지미봉","U000000000000548",18/06/06
"조천함덕해안도로","U000000000000548",18/06/06
"건강과성박물관","U000000000000548",18/06/06
"고산일과해안도로","U000000000000548",18/06/06
"사려니숲길","U000000000000563",18/06/06
"협재해수욕장","U000000000000563",18/06/06
"우도(해양도립공원)","U000000000000563",18/06/06
"명진전복","U000000000000276",18/06/06
"섭지코지","U000000000000595",18/06/07
"만장굴","U000000000000595",18/06/07
"주상절리대(중문대포해안)","U000000000000595",18/06/07
"정방폭포","U000000000000595",18/06/07
"천제연폭포","U000000000000595",18/06/07
"이중섭거리","U000000000000595",18/06/07
"성읍마을","U000000000000595",18/06/07
"보롬왓","U000000000000259",18/06/07
"성산일출봉(UNESCO 세계자연유산)","U000000000000640",18/06/08
"성산일출봉(UNESCO 세계자연유산)","U000000000000657",18/06/08
"용두암","U000000000000657",18/06/08
"주상절리대(중문대포해안)","U000000000000657",18/06/08
"헤이브라더","U000000000000487",18/06/09
"샘스제주캔들","USR_00000026296",18/06/09
"주상절리대(중문대포해안)","USR_00000009833",18/06/10
"김경숙해바라기농장","U000000000000720",18/06/09
"나무사이로햇살이","U000000000000487",18/06/10
"성산일출봉(UNESCO 세계자연유산)","U000000000000728",18/06/10
"제주기정떡","USR_00000026296",18/06/10
"키친그듸","USR_00000026296",18/06/10
"김지순의 낭푼밥상","USR_00000026296",18/06/10
"붉은제주","USR_00000026296",18/06/10
"하효살롱","USR_00000026296",18/06/10
"만조이천쌀밥","USR_00000026296",18/06/10
"갓포하루","USR_00000026296",18/06/10
"초밥군커피씨","USR_00000026296",18/06/10
"바다풍경횟집","USR_00000026296",18/06/10
"사려니숲길","U000000000000752",18/06/10
"카멜리아힐","U000000000000753",18/06/10
"애월해안도로","U000000000000752",18/06/10
"제주김녕미로공원","U000000000000753",18/06/10
"박물관은 살아있다","U000000000000753",18/06/10
"수두리보말칼국수","U000000000000752",18/06/10
"김경숙해바라기농장","USR_00000028273",18/06/11
"만장굴","U000000000000793",18/06/11
"국립제주박물관","U000000000000793",18/06/11
"용두암","U000000000000793",18/06/11
"섭지코지","U000000000000793",18/06/11
"주상절리대(중문대포해안)","U000000000000793",18/06/11
"쇠소깍","U000000000000793",18/06/11
"걸매예술마을","U000000000000793",18/06/11
"문화예술마을 저지리 농어촌체험마을","U000000000000793",18/06/11
"천지연폭포","U000000000000793",18/06/11
"정방폭포","U000000000000793",18/06/11
"오설록티뮤지엄","U000000000000793",18/06/11
"커피가게쉬고가게","U000000000000771",18/06/11
"서연의집(영화 건축학개론)","U000000000000771",18/06/11
"앤트러사이트","USR_00000028914",18/06/12
"카멜리아힐","U000000000000804",18/06/11
"제주김만복(만복이네김밥집)","U000000000000804",18/06/11
"가시아방","USR_00000028914",18/06/12
"블루하와이리조트","U000000000000759",18/06/12
"한림공원","U000000000000864",18/06/12
"월정리해변","U000000000000871",18/06/12
"아침미소목장","U000000000000877",18/06/13
"마린파크","U000000000000877",18/06/13
"이호테우말등대","U000000000000871",18/06/15
"환상숲 곶자왈공원","USR_00000017391",18/06/13
"해적잠수함","USR_00000017391",18/06/13
"성산일출봉(UNESCO 세계자연유산)","U000000000000938",18/06/14
"월령선인장군락지","U000000000000259",18/06/15
"73st","USR_00000029053",18/06/15
"김경숙해바라기농장","U000000000001128",18/06/18
"함덕해수욕장","U000000000001023",18/06/16
"사려니숲길","U000000000001128",18/06/18
"우도(해양도립공원)","U000000000001128",18/06/18
"산방산탄산온천","U000000000001128",18/06/18
"제주하늘을날다(패러글라이딩)","U000000000001128",18/06/18
"브릭캠퍼스","U000000000001128",18/06/18
"파크 선샤인 제주","U000000000001086",18/06/18
"녹산로유채꽃길","U000000000000561",18/06/18
"한화리조트 제주","U000000000001171",18/06/19
"산굼부리","U000000000001179",18/06/19
"이호테우말등대","U000000000001180",18/06/19
"아날로그감귤밭","U000000000001180",18/06/19
"검은오름","U000000000001180",18/06/19
"구좌해안로","U000000000001180",18/06/19
"뷰티풀제주","U000000000000259",18/06/20
"월정리해변","U000000000001243",18/06/20
"섭지코지","U000000000000543",18/06/20
"한화리조트 제주","U000000000001245",18/06/20
"한화리조트 제주","U000000000001252",18/06/20
"한화리조트 제주","U000000000001281",18/06/21
"상효원","U000000000001282",18/06/21
"함덕해수욕장","U000000000001293",18/06/21
"애월해안도로","U000000000001293",18/06/21
"번개과학체험관(폐업)","U000000000001297",18/06/21
"지금 핫한 이곳 <동문재래시장 야시장을 즐기는 다섯 가지 방법>","U000000000002053",18/07/08
"올레7돈 (올레칠돈)","U000000000002762",18/07/20
"쇠소깍","U000000000004049",18/08/16
"제주레포츠랜드","U000000000004049",18/08/16
"퍼시픽 리솜 마린스테이지","U000000000004049",18/08/16
"이호테우말등대","U000000000004049",18/08/16
"봄날카페","U000000000004049",18/08/16
"명진전복","U000000000004049",18/08/16
"하하호호(HAHAHOHO)","U000000000004049",18/08/16
"마라도등대","U000000000004125",18/08/18
"우도봉 풍경","U000000000004125",18/08/18
"형제섬","U000000000004125",18/08/18
"새섬","U000000000004125",18/08/18
"우도 비양도","U000000000004125",18/08/18
"가파도","U000000000004125",18/08/18
"제주유리의성","U000000000004125",18/08/18
"퍼시픽 리솜 마린스테이지","U000000000004125",18/08/18
"제주항공우주박물관","U000000000004125",18/08/18
"피규어뮤지엄 제주","U000000000004125",18/08/18
"헬로키티아일랜드","U000000000004125",18/08/18
"이니스프리제주하우스","U000000000004125",18/08/18
"점보빌리지","U000000000004125",18/08/18
"믿거나말거나박물관 제주","U000000000004125",18/08/18
"서커스월드공연장","U000000000004125",18/08/18
"서귀포항","U000000000004125",18/08/18
"초콜릿랜드","U000000000004125",18/08/18
"제주김만복(만복이네김밥집)","U000000000004157",18/08/19
"월령선인장군락지","U000000000004021",18/08/18
"산굼부리","U000000000004021",18/08/18
"성읍녹차마을","U000000000004183",18/08/20
"사려니숲길","U000000000004183",18/08/19
"까떼커피","U000000000004183",18/08/20
"한라산국립공원","U000000000004141",18/08/20
"브릭캠퍼스","U000000000004237",18/08/21
"협재해수욕장","U000000000004202",18/08/21
"최고집","U000000000004257",18/08/22
"휴애리 자연생활공원","U000000000004261",18/08/22
"우도(해양도립공원)","U000000000004280",18/08/22
"성읍마을","U000000000000476",18/08/22
"아이비테라스","U000000000004280",18/08/22
"제주러브랜드","U000000000004283",18/08/22
"춘심이네","U000000000001802",18/08/24
"올래국수","U000000000001802",18/08/24
"제주김만복(만복이네김밥집)","U000000000001802",18/08/24
"대기정","U000000000001802",18/08/24
"운정이네","U000000000001802",18/08/24
"미영이네식당","U000000000001802",18/08/24
"시골길","U000000000001802",18/08/24
"로봇스퀘어[운영중단]","U000000000004327",18/08/24
"성산일출봉(UNESCO 세계자연유산)","U000000000004072",18/08/25
"월정리해변","U000000000004072",18/08/25
"함덕해수욕장","U000000000004072",18/08/25
"테라로사","U000000000004386",18/08/26
"카페 아트진","U000000000004386",18/08/26
"제니스브레드","U000000000004386",18/08/26
"쏠피쉬","U000000000004386",18/08/26
"꽃자리","U000000000004386",18/08/26
"파시랑","U000000000004386",18/08/26
"소반","U000000000004386",18/08/26
"베지그랑","U000000000004386",18/08/26
"바농","U000000000004386",18/08/26
"솜반내풍경","U000000000004386",18/08/26
"봉주르마담","U000000000004386",18/08/26
"하효소머리국밥","U000000000004386",18/08/26
"마실디","U000000000004386",18/08/26
