콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
감귤박물관 월라봉 산책로 - 생이소리길,,,,,,,,,,,,,,,
제주어울림감귤체험농장,9:00,17:00,9:00,17:00,,,1,,,,,,,,
김택화미술관,11:00,16:30,11:00,18:00,,,1,,,,,,,,
삭제콘텐츠-,15:56,15:56,15:56,15:56,,,3,y,n,y,y,n,n,y,휠체어
낙천아홉굿마을 의자공원,,,,,,,,,,,,,,,
헌마공신김만일기념관,9:00,18:00,9:00,18:00,,,,,,,,,,,
오페라 옴니아 : 라파엘로展,9:00,18:00,9:00,18:00,,,,y,y,y,,y,,,
우도 돌칸이 해안,,,,,,,,,,,,,,,
도치돌 알파카목장,10:00,17:30,10:00,17:30,,,,,,,,,,,
옥돔마을,,,,,,,,,,,,,,,
솔담한방병원,9:00,21:00,9:00,13:00,,,,,,,,,,,
서귀포 하영올레,,,,,,,,,,,,,,,
세화소품관,,,,,,,,,,,,,,,
무비랜드왁스뮤지엄,10:00,18:00,10:00,18:00,,,1,,,,,,,,
