이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,이용시간,편의시설,기타상세,상세텍스트,tag_lst,회,흑돼지,초밥,돈카츠,고기국수,생선,이탈리안,햄버거,한식,뚝배기,칼국수,오메기,라면,카페,술,기타,cat_num,cluster_num,co2
갈치 카페,서귀포시 > 중문,"#카페 #갈치빵 #갈치파이
#아이스크림 #디저트 #음식 #빵",제주 서귀포시 중문관광로 31,0,2,0,0,"1,663",1,"갈치빵과 아이스크림, 말린 감귤를 조합한 색다른 디저트가 있는 곳",,,,,"상세정보
확장됨



서귀포시 중문관광단지 교차로에 위치한 갈치카페는 진짜 갈치살이 들어간 갈치빵과 갈치파이가 있는 이색 디저트 카페다.

동그랗게 몸을 말고있는 갈치 모양의 빵은, 쉽게 말해 팥앙금 대신 갈치포가 들어있는 붕어빵이라고 생각하면 된다.

갈치포를 직접 가공하여 비린맛을 잘 잡아냈으니 큰 걱정할 필요없다.

갈치의 머리에 아이스크림과 말린감귤을 올려 먹는다.

아이스크림은 빵과 함께 한입에 먹어도 좋고 함께 주는 용기에 덜어 내어 떠먹어도 된다.

하지만 그전에 갈치빵 벽화와 함께 찍는 인증샷은 놓치지 말 것.

갈치빵 외에도 갈치파이도 유명하니 함께 시도를 해보자. 주문이 들어가고 빵이 완성될 때 까지는 약 4분 정도가 걸리므로

가게를 채우고 있는 여러 소품들을 구경하면서 즐거운 마음으로 기다려보자.","['카페', '갈치빵', '갈치파이', '아이스크림', '디저트', '음식', '빵']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
감나무집,제주시 > 제주시내,"#돼지갈비 #우거지탕 #한식
#음식 #김치찌개 #된장찌개 #돼지구이 #갈비 #양념갈비",제주특별자치도 제주시 오남로 12,0,2,0,0,"1,907",0,모든 재료를 자체 농장에서 직접 조달해 만든 신선한 음식을 저렴한 가격에 제공하는 착한가게업소,,"평일 : 10:30 ~ 22:00 , 주말 : 10:30 ~ 22:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,"상세정보
확장됨

제주 종합경기장 인근에 위치한 음식점

메인 메뉴인 돼지갈비는 물론 한입 먹는 순간 건강한 맛이 느껴지는 우거지탕도 이 집의 별미,
입식, 좌식 테이블이 모두 갖춰졌으며 가족뿐만 아니라 각종 모임하기에도 좋다.

양질의 음식을 저렴한 가격으로 제공해 착한가격업소 및 모범음식점으로 지정되었다.

 ","['돼지갈비', '우거지탕', '한식', '음식', '김치찌개', '된장찌개', '돼지구이', '갈비', '양념갈비']",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,1.9133333333333333
감산우리가든,서귀포시 > 안덕,"#로컬식당 #한식 #흑돼지
#옥돔구이 #음식",제주특별자치도 서귀포시 안덕면 일주서로 1558,0,0,0,0,"2,020",3,"안덕면 감산리 동네 맛집. 일주도로 도로변에 위치한 우리가든은 일반 한정식, 옥돔구이 등을 비롯해 갈비, 목살, 삼겹살 등 육류도 판매한다.",매주 일요일 휴무,"평일 : 11:00 ~ 20:30 , 주말 : 11:00 ~ 20:30",,,"상세정보
확장됨
일주도로 도로변에 위치한 우리가든은 일반 한정식, 옥돔구이 등을 비롯해 갈비, 목살, 삼겹살 등 육류도 판매한다. 인심만큼 푸짐한 밥상이 차려져 나오는 정식, 돼지고기의 쫀득함과 아삭한 콩나물의 조화가 입맛을 돋우는 두루치기도 좋다.","['로컬식당', '한식', '흑돼지', '옥돔구이', '음식']",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,1.9133333333333333
감저카페,서귀포시 > 대정,"#커피 #샌드위치 #디저트
#사진창고 #갤러리 #음식 #아메리카노 #바닐라라떼 #카페라떼 #돌체라떼 #에이드 #쿠키",제주특별자치도 서귀포시 대정읍 대한로 22,0,8,0,0,"4,474",6,옛 고구마전분공장을 리모델링해 만든 카페,월요일 휴무 / 수유실 보유,"평일 : 10:30 ~ 19:00 , 주말 : 10:30 ~ 19:00","무료 WIFI,카드결제,현금결제,화장실,흡연구역",,"상세정보
확장됨
감저는 제주어로 '고구마'라는 뜻으로, 옛 고구마 전분 공장(80% 이상 보존)을 리모델링해서 만든 카페라는 정체성을 담고 있다.

공장 부지를 활용해 넓은 내부 공간과 탁트인 전망을 자랑한다. 최대한 원형을 살려 만든 인테리어에, 오래된 듯한 기계 장치들과 소품들이 곳곳에 놓여져 있어 빈티지한 분위기를 풍긴다. 

이곳의 시그니처 메뉴는 라떼에 수제 고구마 아이스크림이 한 스쿱 올라간 '감저 시그니처'이다. 그 밖에도 커피와 과일 주스 등의 음료와 케익, 샌드위치 등의 베이커리류가 준비되어있다. 감저에는 카페 외에도 감저 팩토리와 사진창고라는 사진 갤러리 공간이 있다.

감저 팩토리는 옛 공장 기계실을 보존한 곳이다. 기계 설비 등이 그대로 남아있어 이곳의 과거를 어렴풋이 상상할 수 있다.또 감저 팩토리 건물은 돌 건축물이라, 제주의 근대 건축 양식을 구경하는 재미도 있다.

그리고 그 옆에는 사진창고가 있어, 제주 지역 사진가와 제주를 사랑하는 사진가들을 위한 전시공간으로 운영되고 있다.

* 서귀포 돌집리모델링사업 1호 선정, 제주관광공사 '19년 1월 관광10선 선정","['커피', '샌드위치', '디저트', '사진창고', '갤러리', '음식', '아메리카노', '바닐라라떼', '카페라떼', '돌체라떼', '에이드', '쿠키']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
감초식당,제주시 > 제주시내,"#순대 #구제주 #보성시장
#음식 #순대국 #순대국밥 #순대전골 #머리고기 #식당",제주특별자치도 제주시 동광로1길 32,0,1,0,0,"1,009",2,"구제주시내에 있는 감초식당은 채소와 당면, 피가 어우러진 보통의 순대와 다르게 제주식 순대는 피와 메밀, 찹쌀을 주재료로 순대를 만든다. 창자 안을 가득 채운 소는 신선하고 고소한 맛이 진하게 묻어난다. 푸딩같이 부드러운 식감 또한 매력적이다.",,"평일 : 11:30 ~ 21:30 , 주말 : 11:30 ~ 21:30",,,"상세정보
확장됨

돼지고기도 먹고, 회도 먹고….
이제 무엇을 먹어볼까 고민한다면 제주식 순대를 추천한다.
채소와 당면, 피가 어우러진 보통의 순대와 다르게 제주식 순대는 피와 메밀, 찹쌀을 주재료로 만든다.
창자 안을 가득 채운 소는 신선하고 고소한 맛이 진하게 묻어난다.
푸딩같이 부드러운 식감 또한 매력적이다.


구제주 시내에 있는 보성시장에 들어서면 순대 전문 음식점을 여럿 만날 수 있다.
만화 <식객>의 ‘순대 일기’ 편에 소개되어 유명해진 감초 식당도 그곳에 자리한다.
이곳의 대표 메뉴는 제주식 순대가 들어간 감초 순대국밥과 모둠 순대이다.
점심시간이면 현지인들의 발걸음이 끊이지 않는다.
감초 순대국밥에는 콩나물과 배추, 여러 가지 돼지 내장이 푸짐하게 들어가 있다.
순대나 돼지고기 특유의 누린내가 거의 느껴지지 않아 더욱 맛있게 즐길 수 있다.
무엇보다 칼칼한 국물 맛이 일품이다.

순대만 오롯이 먹어보고 싶다면 모둠 순대를 주문해보자.
모둠 순대는 순대와 함께 머리 고기, 내장 등이 메뉴에 따라 다양하게 섞여 한 그릇 푸짐하게 나온다.
국물이 서비스로 제공되는데 순대국밥에서 밥만 제외된 건가 싶을 만큼 건더기가 가득하다.
소금, 새우젓 등 곁들이는 양념 중에서 유독 초고추장이 눈에 띈다.
고소한 순대에 새콤달콤한 초고추장 맛이 더 해져 자꾸만 손이 간다.","['순대', '구제주', '보성시장', '음식', '순대국', '순대국밥', '순대전골', '머리고기', '식당']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2.75
S BAR,서귀포시 > 안덕,"#휴식/힐링 #나이트라이프 #음식
#칵테일 #식당 #제주신화월드",제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,0,0,0,0,695,0,제주신화월드만의 시그니처 칵테일과 JSW 비어를 즐길 수 있는 컨템포러리 바,이용시간: 17:00 - 23:00,"평일 : 17:00 ~ 00:00 , 주말 : 17:00 ~ 00:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점",,"상세정보
확장됨

아름다운 제주의 밤에 트렌디한 감각을 더한 S BAR에서는 제주신화월드에서만 경험할 수 있는 크래프트 비어 'JSW 페일 에일'과 시그니처 칵테일 등의 다양한 음료와 스낵을 선보인다. 은은한 조명과 플랜테리어가 어우러져 감성적인 분위기를 연출하는 오픈형 바에서 넓은 창밖으로 펼쳐지는 야외테라스를 바라보며 제주도 푸른 밤의 정취를 가득 느껴보자.","['휴식/힐링', '나이트라이프', '음식', '칵테일', '식당', '제주신화월드']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.1
갤러리 라운지,제주시 > 제주시내,"#커플 #부모 #휴식/힐링
#카페 #음식 #차 #카페라떼 #바닐라라떼 #식당",제주특별자치도 제주시 노연로 12,0,2,0,0,602,0,"전통적인 방짜유기와 자개로 꾸며진 화려한 인테리어 아래, 고메 커피와 식전 가벼운 한 잔의 여유를 즐길 수 있는 곳입니다.",,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주 드림타워 복합리조트 내 그랜드 하얏트 제주 1층에 위치한 갤러리 라운지는 전통적인 방짜유기와 자개로 꾸며진 화려한 인테리어를 즐기며 여행 또는 일상 속의 피로함을 풀어주는 커피 한잔의 여유로움을 만끽할 수 있는 곳이다. 고메 커피, 제주 스페셜티와 곁들여지는 수제 케이크와 함께 저녁식사전 가볍게 샴페인 한잔을 즐길 수 있는 장소로도 완벽하다.","['커플', '부모', '휴식/힐링', '카페', '음식', '차', '카페라떼', '바닐라라떼', '식당']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
갯것이식당,제주시 > 제주시내,"#보말국 #성게미역국 #성게국수
#갈치국 #한식 #음식 #물회 #소라물회 #한치물회 #전복물회 #갈치구이 #옥돔구이 #전복뚝배기 #한치 #2022고메페스타",제주특별자치도 제주시 가령로 9,1,0,0,0,"2,463",1,이도동 제주경찰서 후문 남쪽에 위치한 성게미역국 전문점입니다.,,"평일 : 08:30 ~ 21:00 , 주말 : 08:30 ~ 21:00","공용주차장,현금결제,카드결제,화장실,편의점,음료대",,"상세정보
확장됨

제주어로 ‘갯’은 바다, ‘갯것’은 해산물을 뜻한다.  
동네 해녀에게 공수한 톳, 미역, 몸으로 만든 정갈한 반찬부터 낭푼에 소복이 담긴 잡곡밥까지 먹음직하고 또한 믿음직하다.
성게가 듬뿍 들어간 맑은성게국과 고동의 한 종류인 보말로 만든 국은 단연 으뜸이다.

 ","['보말국', '성게미역국', '성게국수', '갈치국', '한식', '음식', '물회', '소라물회', '한치물회', '전복물회', '갈치구이', '옥돔구이', '전복뚝배기', '한치', '2022고메페스타']",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,4,2.23
갯마을,제주시 > 제주시내,"#전복뚝배기 #고등어조림 #옥돔구이
#고등어구이 #갈치조림 #음식 #고등어 #고등어회 #쌈밥 #전복버터구이 #갈치 #갈치구이 #갈치회 #제주갈치조림 #제주갈치구이 #갈치국 #물회 #회국수 #회덮밥 #회 #한치회 #전복물회 #광어회 #문어숙회 #방어회 #한치 #방어",제주특별자치도 제주시 연동4길 6-2,0,1,0,0,"1,159",2,한상차림으로 먹을 수 있는 곳,"둘째 주, 넷째 주 일요일 휴무","평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00",화장실,,"상세정보
확장됨

갯마을에서 제주도만의 다양한 향토음식을 먹어보자

제주국제공항에서 10분 거리에 있는 매종글래드 제주호텔 근처 식당 갯마을은
특급호텔 주방장이었던 주인이 소박하게 운영하는 곳이라고 한다.
독특하게 착석하면 메밀차가 나온다.


추천 음식은 전복 뚝배기와 묵은지 고등어조림이며
한상차림으로는 묵은지 고등어조림, 덕천 고사리 오겹살 산적, 지지미,
계란찜으로 이루어진 A코스(덕천 고사리 코스)와 묵은지 고등어조림, 옥돔구이, 한치 물회, 지짐이,
계란찜으로 이루어진 B코스(옥돔구이 코스), 갈치조림, 고등어구이, 지짐이, 계란찜으로 된 C 코스(갈치조림 코스)가 있다.

각 코스별 주문도 가능하며 메뉴를 추가하고 싶을 때는 단품으로도 주문이 가능하다.

 ","['전복뚝배기', '고등어조림', '옥돔구이', '고등어구이', '갈치조림', '음식', '고등어', '고등어회', '쌈밥', '전복버터구이', '갈치', '갈치구이', '갈치회', '제주갈치조림', '제주갈치구이', '갈치국', '물회', '회국수', '회덮밥', '회', '한치회', '전복물회', '광어회', '문어숙회', '방어회', '한치', '방어']",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,5,5,2.122
거기제주,서귀포시 > 대정,"#카페 #음료 #디저트
#사진 #기념품 #음식 #팥빙수 #스파게티 #아메리카노",제주특별자치도 서귀포시 대정읍 노을해안로 732 (신도리),0,2,0,0,"1,206",2,제주를 담은 음료와 기념품 + 제주를 담을 사진강의를 주제로하는 사진카페,매주 화요일 후뮤,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대",,"상세정보
확장됨
제주를 담은 음료와 제주를 담을 사진이라는 주제로 마련된 카페. 이곳에서는 제주를 담은 건강한 음료를 사람들에게 제공하고, 제주를 담은 사진으로 사람들과 소통하고 제주를 여행하는 여행자들과 만난다. 노을이 아름다운 대정읍 신도리에서 매일 매일 특별한 노을과 함께 사진과 여행, 맛집에 대한 이야기를 나눌 수 있는 사진가의 공방같은 아늑하고 포근한 공간이다.","['카페', '음료', '디저트', '사진', '기념품', '음식', '팥빙수', '스파게티', '아메리카노']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
거부한정식(신제주점),제주시 > 제주시내,"#한식 #고등어조림 #옥돔구이
#돔베고기 #무한리필 #음식 #정식",제주특별자치도 제주시 제원4길 3,1,6,0,0,"2,586",2,신제주에서 무한리필 한정식집을 찾는다면,연중무휴,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00","공용주차장,현금결제,카드결제,화장실",,"상세정보
확장됨

제주만의 음식들을 무한리필로 먹을 수 있는 곳

공항과 근접하는 신제주에 위치한 거부한 정식은 무한리필을 할 수 있는 한정식 집이다.
거부한 정식에는 고등어조림과 옥돔구이, 돔베고기를 주축으로 아이들이 좋아하는 감자튀김과 여러 반찬들이 함께 나온다.

식당 안으로는 테이블과 의자들이 넓게 펼쳐져 있고, 안쪽으로는 방으로 되어 있다.
단체 손님이 많이 찾는 곳으로 약 200명을 수용할 수 있다. 또한 가족들끼리 편하게 양껏 먹고 싶을 때 찾으면 좋다.
서귀포에도 거부한 정식 지점이 있지만 본점과는 메뉴 구성이 다르니, 미리 메뉴와 가격을 알아보는 것이 좋다.

 ","['한식', '고등어조림', '옥돔구이', '돔베고기', '무한리필', '음식', '정식']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1.985
거인의 정원,제주시 > 제주시내,"#예술 #갤러리 #실내
#카페 #실내관광지 #문화관광 #어트랙션",제주특별자치도 제주시 대원길 58,0,5,0,0,"3,645",2,카페와 갤러리를 함께 운영하는 거인의 정원,"토요일은 평일과 운영시간 같음/ 설날, 추석 당일 휴무.","평일 : 11:00 ~ 22:00 , 주말 : 11:00 ~ 21:00",,,"상세정보
확장됨
거인의 정원은 제주 오가닉 카페이며 15일마다 갤러리에서 전시가 이루어진다. 1층에는 카페로 운영되고 있으며 2층에서는 갤러리가 있다. 
카페에는 공정무역 유기농 커피와 리얼 카카오, 유기원당과 무항생제 우유,100% 우유 생크림 등 다양한 천연재료로 만들어진 커피와 자연의 힘으로 가꾼 꽃과 잎사귀로 지어낸 유기농 허브티, 야생 허브티와 같은 유기농 차를 접할 수 있다.
입구에는 세련된 포토존이 마련되어 있으며 카페와 함께 갤러리가 있어 일반 카페와는 다른 분위기를 느낄 수 있다.
야외 정원에는 연못을 포함하여 초록빛 나무들로 경관을 이루고 있으며 야외 테라스에는 호수가 있다. 카페 야외 정원이 잘 가꾸어져 있어 아이들과 함께 여유를 즐기기 위해 찾아오는 사람들이 많다. 
카페 한 편에는 여러 가지 식물 화분들을 직접 키우고 있다. 아기자기한 소품들이 가득해 갤러리 전시와 함께 구경하기 좋다.   
카페가 제주 돌담으로 둘러싸여 있어 제주의 로컬 분위기를 즐기기에 좋은 곳이다. ","['예술', '갤러리', '실내', '카페', '실내관광지', '문화관광', '어트랙션']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0.22499999999999998
게우지코지 카페,서귀포시 > 서귀포시내,"#쇠소깍 #에이드 #발효빵
#샤워도우 #디저트카페 #빵지순례 #음식 #카페 #빵 #베이커리 #아메리카노 #카페라떼",제주특별자치도 서귀포시 보목포로 177,0,0,0,0,305,0,서귀포시 하효동에 위치한 게우지코지 카페는 펜션과 함께 영업하고 있으며 쇠소깍이 근처 푸른 바닷가에 위치하고 있어 아름다운 풍경과 다양한 음료와 디저트를 즐길 수 있다.,,"평일 : 08:30 ~ 20:00 , 주말 : 08:30 ~ 20:00","공용주차장,화장실,무료 WIFI",,"상세정보
확장됨

쇠소깍 근처 푸른바다가 보이는 카페

서귀포시 하효동에 위치한 게우지코지 카페는 펜션과 함께 영업하고 있으며 쇠소깍이 근처 푸른 바닷가에 위치하고 있어 아름다운 풍경을 보며 다양한 음료와 디저트와 함께 여유를 즐길 수 있는 곳이다. 그 중에서 음료메뉴에서는 진하고 신선한 원두를 사용한 커피메뉴, 새콤달콤한 에이드메뉴가 인기메뉴이며 르방, 샤워도우, 누룩의 천현발효종을 이용하여 만든 베이커리메뉴가 인기 디저트메뉴이다. 또한 베이커리 메뉴는 화학적 첨가물이 들어가지 않으며 천연 효모의 풍미가 살아있기 때문에 담백하고 깊은 맛이나며 쫄깃한 식감과 소화가 잘되는 것이 특징이다.","['쇠소깍', '에이드', '발효빵', '샤워도우', '디저트카페', '빵지순례', '음식', '카페', '빵', '베이커리', '아메리카노', '카페라떼']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
게판5분전,서귀포시 > 서귀포시내,"#올레시장 #서귀포 #딱새우
#음식 #식당",제주특별자치도 서귀포시 중앙로54번길 35,0,1,0,0,59,0,"올레시장 내에 위치한 딱새우 요리 전문점으로 찜부터 회까지 다양한 딱새우 요리를 즐길 수 있으며 모듬회, 모듬해산물, 모듬찜 등의 다양한 메뉴가 준비되어 있다.",,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00","공용주차장,무료 WIFI,화장실",,"상세정보
확장됨

찜부터 회까지, 딱새우 요리 전문점

서귀포의 유명 관광지 중 한곳인 올레시장내에 위치한 게판5분전은 딱새우 요리 전문점으로 찜부터 회까지 한번에 즐길 수 있는 곳이다. 생각보다 가성비 넘치는 가격이 매력적인데 딱새우만이 아니라 다양한 해산물 요리도 맛 볼 수 있다. 이곳의 인기메뉴는 단연 딱새우회이며 이 외에 부채새우찜, 모듬회, 모듬해산물, 모듬찜 등도 주문 가능하다. 전메뉴 포장이 가능해 이곳 게판5분전에서 저렴한 가격에 구매 후 숙소에서 편하게 즐길 수 있으며 이중섭거리, 아랑조을거리 등 서귀포의 관광지들도 가까워 이용이 편리하다.","['올레시장', '서귀포', '딱새우', '음식', '식당']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.69
겐짱야,제주시 > 제주시내,"#우동 #김밥 #한식
#음식 #돈까스 #새우튀김",제주특별자치도 제주시 월광로 140,0,6,0,0,"2,057",0,신선재료와 조미료 많이 줄여 어머니 밥맛 고수하는 저렴한 가격의 식당,월요일 휴무,"평일 : 10:30 ~ 22:00 , 주말 : 10:30 ~ 22:00","현금결제,카드결제,화장실,음료대",착한가격 업소,"상세정보
확장됨

시골에서 직접 재배한 야채를 사용해 신선한 음식을 저렴한 가격에 제공하는 곳으로
학생들이나 도서관 이용자들이 자주 찾는 푸짐한 양의 식사를 할 수 있다.

 ","['우동', '김밥', '한식', '음식', '돈까스', '새우튀김']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,3,2.0966666666666662
겹겹의 의도,서귀포시 > 서귀포시내,"#베이커리 #카페 #크루아상
#음식 #빵 #아메리카노",제주특별자치도 서귀포시 홍중로27번길 4,0,4,0,0,"1,817",1,서귀포 서홍동에 위치한 크루아상 카페.,"일,월요일 휴무","평일 : 10:00 ~ 20:00 , 주말 : 10:00 ~ 20:00",,,"상세정보
확장됨
가게에 들어서자 빵 냄새가 뭉근하게 피어오르는 겹겹의의도는 서귀포에 위치한 베이커리카페다.
겹겹이 구어진 크루아상을 한 입 물고나면 왜 가게의 이름이 '겹겹의 의도'인지 단번에 이해할 수 있다. 
이곳의 대표 메뉴는 크루아상으로 담백하고 쫄깃한 맛이 특징이다. 크루아상 이외에 까눌레, 바통 슈크레 등 종류 다양한 빵들에서 켜켜이 쌓인 담백함을 느낄 수 있다.
안에는 크림치즈가 들어가고, 겹겹으로 꼬아서 만든 달짝지근한 치즈 트위스트는 꼬인 부분을 하나씩 뜯어먹는 재미가 있다. 
맛에 충실한 카페 겸 베이커리로, 따뜻하고 소박한 느낌의 카페를 찾는 이들이 찾아가기에 좋다.","['베이커리', '카페', '크루아상', '음식', '빵', '아메리카노']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
경미해장국,제주시 > 제주시내,#음식점 #해장국 #제주시내,제주특별자치도 제주시 도령로 39 (노형동) 경미해장국,0,0,0,0,25,0,가족이 직접 운영하는 식당으로 찾아 온 손님에게 진심과 정성으로 우려낸 진한 사골 국물로 만든 해장국 맛집,"이용시간 : 06:00~15:00 (Last Order) 휴무 : 매월 2,4번째 화요일","평일 : 06:00 ~ 15:00 , 주말 : 06:00 ~ 15:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

경미해장국은 가족이 직접 운영하는 식당으로 찾아온 손님에게 진심과 정성으로 우려낸 진한 사골 국물로 만든 해장국 맛집이다. 특히  맑은 사골 해장국은 경매 해장국의 대표 메뉴로 맛이 뛰어나다.

또한 제주공항 인근의 남녕고 앞 사거리에 주차장 40면을 갖고 있어서 여행 오신 관광객 가족분들이 편히 주차할 수 있다.

  ","['음식점', '해장국', '제주시내']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2.6
강정해녀의집,서귀포시 > 서귀포시내,"#성게칼국수 #성게덮밥 #물회
#활어회 #횟집 #음식 #성게비빔밥 #성게국 #고등어구이 #전복죽 #칼국수",제주특별자치도 서귀포시 말질로 290,0,14,0,0,"3,670",1,바다의 향기가 가득한 성게칼국수 먹고 갑써!,매일 10:00~20:00 break time 15:00~17:00 / 월요일 휴무,"평일 : 10:00 ~ 20:00 , 주말 : 10:00 ~ 20:00","공용주차장,현금결제,카드결제,화장실",,"상세정보
확장됨

계절마다 다른 제철 해산물의 맛을 느낄 수 있는 곳

강정해녀의집은 올레길 7코스 근처의 식당으로 강정포구 맞은편에 자리하고 있다.
실내외 에 테이블이 있어 계절에 따라 야외테이블을 이용하면 푸른 강정바다를 앞에 두고 식사가 가능하다.

메뉴는 제철 식재료에 따라 달라지는데 성게가 제철인 여름에는 성게칼국수와 성게덮밥이 인기다.
특히 성게 칼국수는 국물에서 진한 바다 향기를 느낄 수 있어 올레코스를 걷는 올레꾼들이 많이 찾는 메뉴이다.
주방에서 바로 회를 떠서 만들어주는 신선한 활어회로 만든 회덮밥도 인기 메뉴이지만 2인 이상 주문이 가능하다.

이곳은 1인 혹인 2인 이상 주문이 가능한 메뉴들이 있으니 주문 전 확인하는 것이 좋다.
메인메뉴 외에 나오는 기본 반찬들도 제주 특유의 정갈하고 소박한 맛을 느낄 수 있어 좋다.
올레길을 걷다 지친다면 여름에는 더위를 식혀주는 물회를 겨울에는 호호불어 먹는 뜨끈한 성게칼국수를 먹으며 잠시 쉬었다 가는 것도 좋다.
이곳은 전복죽과 함께 게를 갈아서 만든 갱이죽도 유명하니 맛이 궁금하다면 한번 먹어보는 것도 좋겠다.

 ","['성게칼국수', '성게덮밥', '물회', '활어회', '횟집', '음식', '성게비빔밥', '성게국', '고등어구이', '전복죽', '칼국수']",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,4,1.3775
경주네횟집,제주시 > 제주시내,"#다금바리 #물회 #회국수
#회덮밥 #회 #갈치회 #고등어회 #한치물회 #광어회 #한치회 #전복물회 #방어회 #참돔회 #음식 #한치 #방어",제주특별자치도 제주시 연동6길 28,0,1,0,0,"1,699",0,제주시내에 위치한 횟집,,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00","현금결제,카드결제,화장실,무료 WIFI",,"상세정보
확장됨

공항근처에 위치한 횟집으로 이동이 편리하고, 신선한 회를 즐길 수 있다.

 ","['다금바리', '물회', '회국수', '회덮밥', '회', '갈치회', '고등어회', '한치물회', '광어회', '한치회', '전복물회', '방어회', '참돔회', '음식', '한치', '방어']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1.8699999999999999
고가네,서귀포시 > 성산,"#향토음식 #전복죽 #묵은지고등어조림
#전복뚝배기 #음식",제주특별자치도 서귀포시 성산읍 성산중앙로19번길 14,0,3,0,0,"2,562",1,제주 해산물의 다양한 변신,정상영업은 18시까지지만 16시 이전 예약자는 18시 이후에도 식사 가능,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","공용주차장,화장실",,"상세정보
확장됨

성산일출봉을 바라보며 제주의 향토음식을 먹을 수 있는 모범음식점

성산포항으로 가는 길에 위치한 해안도로에 자리 잡고 있는 ‘고가네’는 모범음식점으로 지정된 제주 향토음식점이다. 
큰 유리창을 통해 바로 앞에는 바다가 보이고, 뒤로는 성산일출봉이 있다. 


전복부터 다양한 제주산 해산물이 들어있는
전복뚝배기, 전복죽, 묵은지 고등어조림 등 제주를 대표하는 다양한 향토음식을 맛볼 수 있지만,
큼직한 갈치가 들어있는 갈치조림과 제주산 성게와 직접 뽑은 면으로 만들어진 성게 칼국수가 주요 메뉴이다.
내부가 넓고 테이블 수가 많아 단체로도 방문 가능하다.
미리 전화 예약을 한다면 편하게 식사를 할 수 있다.","['향토음식', '전복죽', '묵은지고등어조림', '전복뚝배기', '음식']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,2.135
