이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,등급,편의시설,기타상세,상세텍스트,주변관광지개수,주변관광지,주변음식점개수,주변음식점,숙박업종
동일민박,섬 속의 섬 > 추차도,"#추자민박 #추자도 #숙소
#민박 #농어촌민박 #공공와이파이존 #조식","제주특별자치도 제주시 추자면 대서1길 9, 3층",0,0,0,0,350,0,동일민박,,없음,"화장실,무료 WIFI",,"상세정보
확장됨
추자항 근처 민박",15,"['최영장군사당', '제주올레 18-1코스', '추자도등대', '나바론절벽', '후포해변', '봉글레산', '추자등대', '묵리마을', '상추자항', '묵리해안쉼터', '참굴비조형물', '용둠범목제계단길', '묵리해안포구', '추자연도교', '상추자포구']",21,"['추자도중앙식당', '제일식당', '커피앤빵', '오동여식당', 'BBQ치킨 추자점', '귀빈식당', '봉골레밥상', '오누이밥상', '마마식당', '보라네', '올레실내포장마차', '해적선', '유심이감성찜닭', '청정고을식당', '동해루', '황금섬숯불갈비', '우리동네숯불갈비', '신등대수산회센타', '한밭식당', '플로렌스', '이맛']",펜션/민박
동촌하우스,제주시 > 구좌,"#펜션 #숙소 #게스트하우스
#주차장 #공공와이파이존 #조식 #카페",제주특별자치도 제주시 구좌읍 종달논길 61-4,0,0,0,0,"2,347",1,올레1코스 중간지점이자 21코스 끝지점에 위치한 펜션,,,"화장실,무료 WIFI",,"상세정보
확장됨
한옥을 재해석한 동촌하우스는 제주도 동쪽 올레길 1코스의 중간지점이자 21코스의 끝지점에 위치하고 있는 전형적인 어촌마을 종달리에 위치했다.
햇빛에 따라 다르게 보이는 먹색의 지붕, 아름다운 갈대밭 너머로 보이는 성산일출봉, 아름다운 제주를 동촌하우스에서 느껴보길 바란다.",13,"['종달리수국길', '제주올레 1코스', '지미봉', '종달리해안도로', '종달리전망대', '종달리해변', '두산봉(말미오름)', '취다선리조트', '성산~세화 해안도로', '하도리 철새도래지', '알오름(성산읍)', '이로이로공방', '금붕사']",17,"['해월정', '산도롱맨도롱', '비어라운드(Be around)', '시흥해녀의집', '카페제주동네', '바다는안보여요', '술도가제주바당', '수다뜰', '종달리엔 엄마식당', '새벽숯불가든', '달리다방', '종달해녀의집', '가비오타카페', '묘한상점 묘한카페', '모뉴에트', '이스트포레스트', '섭지코지로']",게스트하우스
두리안펜션,서귀포시 > 남원,"#부모 #커플 #혼자
#친구 #아이 #펜션 #휴식 #숙소 #휴양펜션 #공공와이파이존 #온돌방 #단체여행객",제주특별자치도 서귀포시 남원읍 태위로 551-3 두리안펜션,0,3,0,0,742,1,"서귀포시 남원읍에 위치하며, 올레길 5코스, 큰엉해안경승지, 코코몽에코파크, 대발이파크 바로앞에 있으며, 넓은 잔디정원과 야자수가 편안한 힐링환경을 제공하는 펜션",체크인- 15:00 체크아웃- 11:00,없음,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대",,"상세정보
확장됨

두리안펜션은 서귀포시 남원읍에 위치한 펜션으로 넓은 잔디마당과 야자수가 시원하게 뻗어있어 이국적인 멋이 있는 곳이다.
또한, 객실에는 편안한 침구류와 깔끔한 주방기구가 준비되어있다.

펜션 바로 앞에는 어린이들이 좋아하는 코코몽에코파크와, 대발이파크가 있으며, 도보로 5분거리에 자연스럽고 아름다운 올레길5코스, 남원큰엉해안경승지가 있다.

제주도의 남동쪽지역에 위치하여, 사려니숲길, 휴애리 자연생활공원, 우도, 성산일출봉, 섭지코지, 비자림, 절물자연휴양림, 교래 자연휴양림, 붉은오름 등 유명한 관광지들이 자동차로 20~30분 거리에 있어 이동하기에 편리하다.

대중교통 이용시에는 펜션 바로 앞에 있는 남원생활체육관 버스 정류장을 이용하면 되고,
제주공항에서 남원생활체육관 까지 직통으로 운행하는 버스는 131번, 132번 버스가 있다.",7,"['제주동백수목원', '위미리 동백나무군락', '가뫼물', '코코몽 에코파크', '남원큰엉해변', '제주올레 5코스', '남원항 (남원포구)']",14,"['무뚱 식도락 식당', '한라앤탐', '와랑와랑카페', '우드노트', '마므레', '흑염소마루', '육값하네식육가든', '털보네 고양이', '여행가게', '로드3.7 (road3.7)', '토향(음식점)', '뉴남원분식', '동동차이나', '로빙화']",펜션/민박
돌담민박,제주시 > 애월,"#펜션 #주차장 #공공와이파이존
#가족 #바비큐 #온돌방 #휴양펜션",제주특별자치도 서귀포시 남원읍 남태해안로 364,0,0,0,0,"1,276",0,태흥해안도로에 위치한 전 객실 바다전망에 해수수영장이 있는 펜션,,,"공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,유도 및 안내시설",,"상세정보
확장됨



제주의 맑은 공기와 푸른바다. 그리고 하늘, 자연과
함께 어우려져 붉은 바다로 유명한 제주 남원에 위치한 드림캐슬
부대시설로는 바비큐장, 해수수영장, 잔디정원에서 자연을 느끼며
추억을 만들 수 있고, 포켓볼과 노래방도 즐길 수 있다.
주변관광지로는 제주신영영화박물관, 표선해수욕장, 쇠소깍 등이 있다.",5,"['제주올레 4코스', '레더한', '태흥포구', '옥돔마을', '남원항 (남원포구)']",10,"['무뚱 식도락 식당', '오끼416갤러리', '간이옥돔역', '흑염소마루', '육값하네식육가든', '마더카페', '여행가게', '토향(음식점)', '뉴남원분식', '동동차이나']",펜션/민박
등대민박,섬 속의 섬 > 추차도,"#추자등대산공원 #추자민박 #추자도
#숙소 #민박 #농어촌민박 #주차장",제주특별자치도 제주시 추자면 대서2길 35,0,0,0,0,495,0,등대산공원 바로 뒤 민박,,없음,화장실,,"상세정보
확장됨
등대산 공원 바로 뒷편에 위치 하고 있다. 조금만 걸어나가면 멋진 추자 바다뷰를 감상할 수 있는 곳",22,"['추자도', '최영장군사당', '제주올레 18-1코스', '추자도등대', '나바론절벽', '후포해변', '돈대산', '봉글레산', '추자등대', '섬생이', '묵리마을', '돈대산산림휴양산책로', '상추자항', '묵리해안쉼터', '묵리처녀당', '참굴비조형물', '용둠범목제계단길', '묵리해안포구', '추자연도교', '상추자마을길', '예초리', '상추자포구']",21,"['추자도중앙식당', '제일식당', '커피앤빵', '오동여식당', 'BBQ치킨 추자점', '귀빈식당', '봉골레밥상', '오누이밥상', '마마식당', '보라네', '올레실내포장마차', '해적선', '유심이감성찜닭', '청정고을식당', '동해루', '황금섬숯불갈비', '우리동네숯불갈비', '신등대수산회센타', '한밭식당', '플로렌스', '이맛']",펜션/민박
디셈버호텔,제주시 > 제주시내,"#휴식/힐링 #숙소 #호텔
#주차장 #공공와이파이존 #관광호텔",제주특별자치도 제주시 삼무로1길 15,0,3,0,0,"2,746",0,다양한 부대시설이 준비되어 있는 제주도 2성급 호텔,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨
비즈니스 여행과 레저 여행 모두에 적합한 제주 시내에 위치해 있다.
시내에 위치해 있어 각종 편의시설을 이용하기 좋으며, 공항에서 2.2 km 거리에 있어 이동이 편리하다.
6층 건물의 깨끗하고 현대적인 분위기의 호텔로, 고급스러운 브라운톤의 인테리어로 디자인되어 있다.
 ",26,"['한라수목원', '수목원테마파크', '도두봉', '도두동 무지개 해안도로', '아이스뮤지엄', '누웨마루거리(구 바오젠)', '제주올레 17코스', '플레이박스VR', '보물섬하이킹', '제주국제공항', '레이저서바이벌M', '제주 카카오캠핑', '스쿠버스쿨', '민오름(오라동)', '도두항', '제주스쿠터여행', '수목원테마공원(야시장길&LED공원)', '도두해안도로', '중앙병원', '제주한라병원', '캐니언파크', '민오름(조천읍)', '손방둥이', '제주국제공항(정뜨르비행장)', '한국병원', '아름다운피부과']",47,"['제주김만복(만복이네김밥집)', '올래국수', '돈사돈', '순옥이네 명가', '김지순의 낭푼밥상', '오라숲소리', '도두해녀의집', '명당양과', '생돈우리', '앞뱅디식당', '흑돈가', '제주올레냉면 제주노형점', '늘봄흑돼지', '연동마라도횟집', '스시호시카이', '삼무국수', '메밀꽃차롱', '제주 어가', '황금어장(제주시)', '덤장', '보스코화덕피자', '영주말가든', '웅스키친', '유리네', '레드팬더', '아라파파 a la papa', '현옥식당', '광원', '삼대국수회관 신제주점', '만원의행복', '성미식당', '좀녀마을뚝배기', '카페 도두', '모메존', '수복강녕', '섬채', '무상찻집', '제라한보쌈', '이게밥도둑', '흑돼지킹생구이전문점', '탕궁훠궈', '메콩스카이', '망고홀릭 제주본점', '부자식당', '미풍해장국 신제주점', '하르방밀면(운동장점)', '남해횟집']",호텔
디스이즈핫,제주시 > 구좌,"#휴식 #숙소 #펜션
#휴양펜션 #조식포함 #주차장 #자연경관",제주특별자치도 제주시 구좌읍 하도15길 153-5,0,0,0,0,"1,288",0,그림 같은 경치 속 감각적인 펜션,연중무휴,,,,"상세정보
확장됨

우도와 하도해수욕장이 한 폭의 그림처럼 펼쳐진 곳

디스이즈핫은 하도 해수욕장 인근에 위치한 펜션이다.
건물의 인테리어는 각종 설치 미술과 회화, 판화 작품으로 이루어져 있다.
대표적으로 최종운 작가의 설치 미술 작품인 ‘테이블’과 나탈리 레테의 판화가 걸려있는 액자 등이 있다.



입구에 설치되어 있는 디스이즈핫의 로고 파이프 작품도 4가지 버전으로 매일매일 다른 형식으로 변경된다.
각 객실 역시 작가들의 작품이 진열되어있으며, 별관에는 레스토랑이 함께 운영 중이다.",12,"['종달리수국길', '하도해변', '토끼섬', '별방진', '종달리전망대', '구좌 하도어촌계', '종달리해변', '세화해안도로', '하도리 철새도래지', '이로이로공방', '굴동포구', '금붕사']",12,"['산도롱맨도롱', '비어라운드(Be around)', '카페제주동네', '바다는안보여요', '술도가제주바당', '수다뜰', '벨롱', '석다원', '달리다방', '종달해녀의집', '이스트포레스트', '카페록록']",펜션/민박
땅콩펜션,섬 속의 섬 > 우도,"#숙소 #휴양펜션 #펜션
#우도 #게스트하우스 #힐링쉼터 #음식",제주특별자치도 제주시 우도면 영일길 156-12,0,1,0,0,"1,127",1,우도 검멀레해변 근처의 땅콩펜션,,,"공용주차장,무료 WIFI",,"상세정보
확장됨

아늑하고 깨끗한 곳에서 머물고 싶다면

우도 영일동포구와 검멀레해변 근처에 있는 땅콩펜션은 우도 올레길 코스에 위치해 있다.
이곳은 총 5개의 방으로 되어 있으며, 객실 별 욕실과 주방을 구비하고 있다.
단 가족룸 101호는 공동주방을 이용해야 한다.

또한 1층에는 식당을 운영하고 있는데 갈치조림, 닭볶음탕, 볶음밥, 옥수수탕면이 있고
그 외 양꼬치나 궈보우러우(탕수육)도 판매하기 때문에
가게 문을 일찍 닫는 우도에서 늦은 저녁에도 식사가 가능하며, 자전거 대여 서비스도 실시하고 있다.

 ",23,"['우도(해양도립공원)', '우도산호해변 홍조단괴 서빈백사', '검멀레해변', '우도 비양도', '하고수동해변', '제주올레 1-1코스', '우도등대', '섬속의섬우도렌트', '검멀레동굴', '우도스쿠터여행', '노을승마장', '우도올레보트', '우도봉 ATV', '톨칸이', '답다니 탑망대 (하트원담)', '우도 봉수대', '우도봉 풍경', '산호레저', '등머을레져', '훈데르트바서파크', '우도 득성이코지', '비양도 연평리 야영지', '우도징기스칸승마체험']",54,"['하하호호(HAHAHOHO)', '섬소나이', '블랑로쉐', '우도 풍원', '봉끄랑', '로뎀가든', '망고레이', '우도해녀식당', '회양과 국수군', '지미스', '우도동식이', '안녕육지사람', '우도왕자이야기', '우도해광식당', '물꼬해녀의집', '우도자연', '물회영해초영', '우도아름다운소풍', '파도소리해녀촌', '제주한치빵 우도점', '모실래기해녀해물촌', '우도면파전리', '해적카페', '우도향', '해와달그리고섬', '리치망고우도점', '오로라식당', '우무깨식당', '하얀산호식당', '인어공주', '우도이야기', '산호사 해녀의집', '바당꺼몬딱', '섯동네해녀의집', '문어빵굽는문빵9', '돈채', '아이스크림연구소(우도점)', '띠띠빵빵', '우도몬딱', '산호풍경', '봉봉커피', '연이네', '대니스카페', '바람개비', '산호반점', '복여네왕돈가스', '피노키오', '헬로우우도', '바위소리', '엉클망고', '뽀요요 카페', '잔디가미', '지미스천연아이스크림', '우도짜장맨']",게스트하우스
또오크라,제주시 > 애월,"#펜션 #주차장 #공공와이파이존
#가족 #바비큐 #온돌방",제주특별자치도 제주시 애월읍 수산북길 31,0,0,0,0,"1,929",2,'다시 오겠다'는 뜻의 제주어로 이름 지어진 한라산이 보이는 펜션,,,"공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,유도 및 안내시설",,"상세정보
확장됨

제주공항에서 차로 25분 거리에 위치한 한라산 전경이 보이는 펜션이다.
'또오크라'는 제주방언으로 다시 방문하겠다는 뜻으로 다시 방문하고 싶을 정도 좋은 객실과 서비스를 제공하기 위해 노력하고 있다.
숙소 바로 옆에 수산저수지와 수산봉을 한바퀴 돌아오는 산책길이 있어 산책하기 좋으며, 제주 한달살기를 위한 객실도 준비하고 있다.
주변에 애월해안도로, 올레길 16코스, 곽지해수욕장 등 제주 서쪽 관광지로의 이동이 편리하다.",14,"['애월해안도로', '항파두리항몽유적지', '구엄리돌염전', '장전리 벚꽃축제길', 'SM 디지털아트 뮤지엄', '물메(물미, 수산봉)', '제주플래티늄카라반', '구엄포구', '수산저수지', '파군봉(바굼지오름)', '물뫼힐링팜', '제주불교성지 순례길 절로 가는길 - 보시의 길', '영모원', '동귀방파제']",35,"['요리하는 목수', '바다속고등어쌈밥', '문동일셰프녹차고을', '전설의마녀', '카이로스', '신의한모', '고마워토토 아뜰리에', '노라바', '달자카페', '키친그듸', '비바리짬뽕', '제주와이너리', '저스트쉬림프', '광평도새기촌 본점', '블루사이공', '오르다키친', '카페소금', '하와유제주', '카페백퍼', '스마일러 카페', '차마실', '칠사돈', '잇칸시타', '사이카레', '지상에 별두개', '종이시계 카페', '불만나', '제주광해 애월', '제주크랩잭', '해성도뚜리', '일품순두부 하귀점', '썸의시작', '삼일해장국', '큐티파이 카페', '너와의 첫여행']",펜션/민박
또올레펜션&게스트하우스,제주시 > 한경,"#펜션 #숙소 #휴양펜션
#게스트하우스 #정원 #주차장 #안전인증민박 #해수욕장",제주특별자치도 제주시 한경면 판포2길 44,0,0,0,0,"1,249",0,"맑고 신선한 제주의 공기와 함께, 일상탈출의 여유가 느껴지는 펜션",,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨


제주도 여행이 수차례인 여행객들도 반하게 만드는 이국적인 올레길 13, 14코스를 제주또올레 펜션에서 즐기세요~!",9,"['월령선인장군락지', '판포포구', '비체올린', '제주올레 14코스', '해거름전망대', '진아영 할머니 집터', '판포오름 (널개오름, 板浦岳)', '월령포구', '신창리포구']",9,"['바다를본돼지(판포점)', '울트라마린', '월령203', '늘푸른농원 연리지가든', '신스버거', '세가름', '쓰쓰카페', '채훈이네해장국', '중국집마씸']",게스트하우스
뜨레향 펜션,서귀포시 > 남원,"#안전인증숙소 #숙소 #휴양펜션
#펜션 #마을산책 #마을관광 #조식포함 #힐링 #안전인증민박",제주특별자치도 서귀포시 남원읍 하례망장포로 27-8 (하례리) 뜨레향 펜션,0,0,0,0,"1,636",0,제주도 남쪽의 바닷가 망장포 부근에 주인 부부가 직접 지은 펜션이다. 파도소리가 들리는 펜션 테라스에는 감귤 정원이 조성되어 있다.,,없음,"화장실,무료 WIFI,음료대",,"상세정보
확장됨
올레 5코스의 망장포라는 포구 남향에 단독으로 위치해 있다.
망장포까지 도보 5분 미만의 거리(390m)로 바닷가를 산책하기에도 좋으며, 망장포에서는  유명 맛집,카페,편의점 등 다양한 편의 시설이 준비되어 있어 여유롭게 여행을 즐기기에 좋다. 펜션의 테라스에서는 파도소리 뿐만 아니라 제주 감귤의 영롱함도 즐길 수 있다.
신년 해맞이에는 근접해 있는 망장포에서  해맞이 행사가 진행된다. 모닥불에서 구운 뿔소라와 해녀가 만든  떡국도 즐길 수 있다.
숙소는 일반룸이다.
2인은 퀸 사이즈 침대 1개가  제공되고, 인원추가시 1인당 1일 만오천원의 요금이 추가되며 별도의 침구가 제공된다.(단, 수용 최대 인원은 3인)
최소 숙박일수는 2박부터다.",10,"['고살리숲길', '효명사', '망장포', '이승이오름(이승악)', '감귤상웨빵 체험', '남내소', '내창트레킹', '제주불교성지 순례길 절로가는길 - 선정의 길', '걸서악오름', '오림반']",3,"['하례정원', '내창생태카페', '한라성']",펜션/민박
뜨리바다펜션,서귀포시 > 남원,"#펜션 #휴양펜션 #해변
#자연경관 #산책로 #바비큐",제주특별자치도 서귀포시 남원읍 태위로510번길 31-16,0,0,0,0,"1,592",0,남원 큰엉 해안경승지가 정원이 되는 펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설",,"상세정보
확장됨

탁 트인 바다 전망이 멋진 서귀포 뜨리바다 펜션. 남원 큰엉에 위치해 드넓은 제주 남쪽바다가 한 눈에 펼쳐져 멋진 제주 남쪽바다 전망을 자랑한다. 주문과 성산이 30분 거리에 위치해 합리적인 동선으로 여행이 가능하다.
기준인원 초과요금: 1인당 10,000원(24개월 미만 무료)
바비큐 이용요금 20,000원(감귤나무 장작 숯불, 그릴 / 최소 2시간 전 예약 요망)
칫솔, 면도기는 개별 지참 요망
주변관광지로는 쇠소깍, 표선해수욕장, 에코랜드, 사려니숲길 등이 있다.

 ",9,"['제주동백수목원', '위미리 동백나무군락', '가뫼물', '코코몽 에코파크', '남원큰엉해변', '제주올레 5코스', '남원 위미2리 어촌계', '이음새', '남원항 (남원포구)']",12,"['무뚱 식도락 식당', '한라앤탐', '와랑와랑카페', '우드노트', '마므레', '흑염소마루', '털보네 고양이', '로드3.7 (road3.7)', '토향(음식점)', '뉴남원분식', '동동차이나', '로빙화']",펜션/민박
라마다앙코르 서귀포 이스트 호텔,서귀포시 > 서귀포시내,"#호텔 #숙소 #부대시설
#주차장 #공공와이파이존 #조식포함 #비즈니스센터",제주특별자치도 서귀포시 서호중로 65,1,8,0,0,"3,662",1,비즈니스와 휴양을 동시에 즐길 수 있는 서귀포시에 위치한 호텔,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

라마다 앙코르 이스트 호텔은 비즈니스와 휴양을 동시에 충족시키는 호텔로 젊은 층이 즐겨 찾는다.
서귀포의 중심부에 위치하고 있어 제주도 곳곳의 아름다운 관광 포인트로도 쉽게 이동이 가능하다.
건강한 휴식, 감각적인 비즈니스와 미팅, 맛있는 즐거움이 있는 다이닝을 합리적인 가격에 이용가능하다.

 ",13,"['서귀포치유의숲', '엉또폭포', '고근산(고공산)', '한국야구명예전당(야구박물관)', '서귀포 궁도장(천지정)', '들렁모루 산책길', '제주올레 7-1코스', '미악산 (턥오름, 쌀오름, 솔오름)', '각시바우오름', '조이다이브', '굿다이버', '바람모루', '영남동']",12,"['행복한시저네', '루스트플레이스 서귀포점', '흑돈향', '물질식육식당', '초승달지대', '온미(溫米)', '엉또산장', '제주의봄', '몰질식육식당', '비브레이브커피로스터스', '병천한가네순대국밥', '장수해장국']",호텔
라마다앙코르 서귀포호텔,서귀포시 > 서귀포시내,"#휴식/치유 #숙소 #호텔
#양식레스토랑 #주차장 #객실",제주특별자치도 서귀포시 서호중로 55,0,0,0,0,"1,030",3,세계적인 호텔그룹 ‘Wyndham’ 사의 스탠다드를 따르는 『라마다 앙코르 서귀포』 호텔은 비즈니스와 휴양을 동시에 충족시키는 호텔로 젊은 층에게 특히 더 사랑 받는 트렌디한 호텔이다.,,4성급,편의점,,"상세정보
확장됨

세계적인 호텔그룹 ‘Wyndham’ 사의 스탠다드를 따르는 라마다 앙코르 서귀포 호텔은 비즈니스와 휴양을 동시에 충족시키는 호텔로 젊은 층에게 특히 더 사랑 받는 트렌디한 호텔이다. 서귀포 제일 청적지역인 혁신도시 내 자리하고 있으며, 북쪽으로 한라산과 남쪽으로 남태평양의 푸른 바다와 범섬이 한눈에 바라보이는 위치에 접하고 있으며, 인근에 천지연 폭포, 서귀포 미항과 새연교, 이중섭 거리(박물관), 작가의 산책길, 올레 6,7 코스, 이 정방폭포, 서복전시관, 올레재래시장 등 자연적 경관과 예술 문화적 특성이 융합되어, 자연과 문화와 힐링을 모두 체험할 수 있는 서귀포 최고의 관광환경을 접하고 있다.",22,"['외돌개', '엉또폭포', '세리월드 테마파크', '고근산(고공산)', '법환포구', '한국야구명예전당(야구박물관)', '석부작박물관', '제주다이브 체험다이빙', '서귀포 궁도장(천지정)', '막숙', '돔베낭길', '제주올레 7-1코스', '제주워터월드', '돔베낭골', '중문카라반', '각시바우오름', '조이다이브', '보롬이(하논, 화구구)', '굿다이버', '백년초농장박물관', '하논마르', '바람모루']",26,"['대우정', '최고집', '행복한시저네', '제주삼다국수', '제스토리', '국수냐 국밥이냐', '시스터필드', '세자매식당', '법환어촌계횟집', '그릴데미그라스', '루스트플레이스 서귀포점', '흑돈향', '채점석베이커리', '베이크샵스니프', '물질식육식당', '초승달지대', '탐라화덕피자', '아뜰리에안', '봉주르마담', '뿔소라몽땅정식', '수모루국수', '월드컵흑돼지', '온미(溫米)', '호도제과', '엉또산장', '망고홀릭 법환점']",호텔
라메종베니in제주,서귀포시 > 성산,"#게스트하우스 #펜션 #휴양펜션
#민박 #마을관광 #조식 #농어촌민박",제주특별자치도 서귀포시 성산읍 신양로122번길 4-6,1,0,0,0,"2,133",0,축복받은 집이라는 의미를 담고 있는 신양해수욕장과 섭지코지 앞 게스트하우스,연중무휴,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설",,"상세정보
확장됨

라메종베니 게스트하우스는 관광명소인 섭지코지로 진입하는 마을 입구에 위치한 숙소이다. 주변 관광지로는 섭지코지를 포함해 아쿠아플라넷 제주, 성산일출봉, 우도, 신양해수욕장, 올레 1, 2코스 등이 있다. 게스트하우스에서 광치기 해변과 신양해수욕장의 바다를 감상할수 있으며 이용료 1천원에 조식을 이용할 수 있다.",23,"['섭지코지', '아쿠아플라넷 제주', '광치기해변', '제주커피박물관 바움 Baum', '혼인지', '신양섭지해수욕장', '해품은체험농장', '지포뮤지엄', '성산 유채꽃재배단지', '제주올레 2코스', '쇠와꽃 승마장', '제주쥬티클럽', '성산오조리해안', '대수산봉(큰물뫼,물미오름)', '신양해안도로', '온평리 환해장성', '소수산봉(족은물뫼)', '휘닉스 르쏠레이테라피', '제주어울림감귤체험농장', '터진목 & 성산면 4·3희생자 위령비', '올레캠프 본점 알파캠프', '신양포구', '빛의 벙커']",33,"['섭지코지 해녀밥상', '맛나식당', '옛날옛적', '섭지해녀의집', '산포식당', '어부피자', '마돈', '어머니닭집', '남양수산', '커피먹는 고냉이', '달래식당', '백기해녀의 집', '성산 고등어쌈밥 김치찜', '어멍횟집', '문화통닭', '장승포식당', '방듸', '착한마녀김밥', '복댕이', '해마루', '달리맨', '해월향', '삼수정', '서귀피안베이커리', '섭지코지화덕피자', '더비치하우스', '해왓', '성산 어멍횟집', '꽃가람', '보룡제과', '성산 호랑호랑', '도렐', '스피닝울프']",게스트하우스
드림캐슬,서귀포시 > 남원,"#호텔 #숙소 #주차장
#공공와이파이존 #휴양콘도",제주특별자치도 서귀포시 중정로 1,0,2,0,0,"2,865",0,호텔 수익의 일부를 기부하는 제주착한호텔 소속 호텔,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI",,"상세정보
확장됨
천지연폭포 앞, 서문로터리에 위치한 라벤다호텔은 호텔형 객실부터 취사 가능한 콘도형 객실까지
다양한 타입의 객실을 비하여 고객님들께 최적의 휴식공간을 제공하고 있다.
또한 이중섭거리 등 서귀포 시내부터 천지연폭포, 올레7코스, 외돌개, 새연교 등 서귀포의 풍부한 관광지가 이접한 최적의 위치 해 있다.",45,"['천지연폭포', '정방폭포', '황우지해안', '외돌개', '이중섭거리', '새연교', '서귀포잠수함(대국해저관광)', '제주올레 7코스', '서귀포칠십리시공원', '서귀포예술의전당', '이중섭미술관', '걸매생태공원', '새섬', '소정방폭포', '자구리공원', '서귀포항', '문섬(서귀포해양도립공원)', '서복전시관', '세계조가비박물관', '황우지해안 열두굴', '이중섭거주지', '서귀포시립기당미술관', '석부작박물관', '올레여행자센터', '간세공방', '서귀포층패류화석산지', '왈종미술관', '걸매예술마을', '삼매봉', '돔베낭길', '돔베낭골', '소암현중화기념관', '소라의성', '거믄여해안경승지', '소남머리', '정모시쉼터', '서귀포 하영올레', '천주교 순례길 - 하논성당길', '보롬이(하논, 화구구)', '천지연기정길', '백년초농장박물관', '서귀포의료원', '문화빳데리 충전소', '하논마르', '솔동산8경']",32,"['서귀포네거리식당', '덕성원', '전원일기', '기억나는집', '쌍둥이횟집본점', '안거리밖거리', '비포크비스트로', '뽈살집', '오는정김밥', '제주흑돈세상수라간', '88버거', '올레수산회센터', '맛있는집', '제주올레횟집', '서귀포바당물회', '모루쿠다', '천지연해물전복뚝배기', '소녀방앗간', '유동커피', '한라네 김밥', '제리스펍', '이어도전복해물전문점', '제주명가두루치기', '자리돔횟집', '나원회포차', '아싸횟집', '황금어장', '포트그릴 스테이크하우스', '소반', '서귀포흑돈', '파시랑', '몬스테라 자구리']",리조트/콘도
라신비,제주시 > 한림,"#안전인증숙소 #숙소 #공공와이파이존
#해수욕장 #바비큐 #체험 #안전인증민박",제주특별자치도 제주시 한림읍 한림해안로 548,2,0,0,0,"1,769",3,귀덕 해안도로에 위치한 오션뷰 펜션,,,"공용주차장,무료 WIFI",,"상세정보
확장됨
제주출신인 사장님이 오사카에서 반평생을 살다, 제주가 그리워 귀향해 만든 펜션.
귀덕 해안도로에 위치해 오션뷰를 즐길 수 있다.
펜션 객실인 2~3층 아래에는 일본 라멘집을 운영하고 있다.
 ",20,"['이랜드뮤지엄', '한림항', '한림바다체험마을', '보통청춘기록실 청춘사진관', '해피맘하우스', '제주기독교순례길', '한림해안도로', '제주올레 15-B코스', '핸즈웍스', '기독교순례길 1코스(순종의길)', '갑자기 히어로즈 벽화길', '테우마을 수원리 농어촌체험마을', '귀덕연대', '라신동', '황우럭만화천국사회적협동조합', '평수포구', '금성포구', '브레이브독스', '대림리선돌', '대수포구']",32,"['한림칼국수', '카페콜라', '사형제횟집', '카페태희', '곽지식당', '복단지식당', '전망대횟집', '영림흑돼지가든', '제주웅담', '미번베트남쌀국수', '보영반점', '수타명가', '미인계 카페', '곽지BAR다', '홍돈깡통연탄구이', '하우스레서피', '매기의 추억', '씨리얼', '메리앤폴', '로맨틱하드보일드', '맛있는 여가생활', '귀덕간식', '해녀세자매', '돌카롱 애월점', '애월빵공장앤카페', '두리호집', '옥만이네', '심바카레', '바다제비', '임순이네', '한림웅담', '부원뚝배기']",펜션/민박
